[0] catalog_purchasable_fix worker started
[0] modBase=0x7FF682A80000 vtabAbs=0x7FF68B2B1758
[cm] CatalogManager @0x1CC7CC3E080 (mapNum=1355)
[hb] catMgr=0x1CC7CC3E080 iters=1 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=18 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=35 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=52 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=69 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=86 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=103 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=120 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=137 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=154 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=171 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=188 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=205 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=222 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=239 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=256 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=273 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=290 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=307 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=324 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=341 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=358 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=375 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=392 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=409 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=426 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=443 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=460 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=477 lastPoked=1355
