[0] catalog_store_fix worker started (ready-gate + purchasable poke) build=Aug  6 2026 22:00:29 scan=SAFECOPY-S111 veh=1 slot=1 jz=0
[0] modBase=0x7FF6505C0000
[0] crash-VEH installed
[3] GetPrimaryAssetIdList hooked (scan armed)
[hb] catMgr=0x0 jz=0/0 unhook=0 purchIters=0 lastPurch=0
[enum] first GetPrimaryAssetIdList -> scan (mgr=0x22D771DAEA0)
[scan] DONE: 30 types scanned (Hero added=25)
[unhook] slot 110 restored
[hb] catMgr=0x0 jz=0/0 unhook=1 purchIters=0 lastPurch=0
[cm] live CatalogManager @0x22E04A9CB80 (map Num=1339) — catalog loaded
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=1 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=11 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=21 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=31 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=41 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=51 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=61 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=71 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=81 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=91 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=101 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=111 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=121 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=131 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=141 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=151 lastPurch=1339
[hb] catMgr=0x22E04A9CB80 jz=0/0 unhook=1 purchIters=161 lastPurch=1339
