class,owner,function,flags,thunk_rva,impl_rva,impl_size,verdict,detail,pick_reason,sig
CheatManager,CheatManager,BugIt,"Exec|Native",0x35c6a70,0x359e750,626,REAL,"158 ins, 14 calls, pdata bounds","VIRTUAL CheatManager vtable[+0x410] -> 0x359e750","(FString ScreenShotDescription) -> void"
CheatManager,CheatManager,BugItGo,"Exec|Native",0x35c6b10,0x0,488,INLINED,"thunk 114 ins / 488 B, 18 helper calls","VIRTUAL dispatch qword ptr [rax + 0x400] -- vtable unresolved","(float X, float Y, float Z, float pitch, float Yaw, float Roll) -> void"
CheatManager,CheatManager,BugItStringCreator,"Exec|Native|HasOutParms",0x35c6d00,0x359ebf0,594,REAL,"144 ins, 12 calls, pdata bounds","VIRTUAL CheatManager vtable[+0x418] -> 0x359ebf0","(Struct(Vector) ViewLocation, Struct(Rotator) ViewRotation) out[FString GoString, FString LocString] -> void"
CheatManager,CheatManager,ChangeSize,"Exec|Native|BPCallable",0x35c6ed0,0x35a40d0,752,REAL,"176 ins, 10 calls, sweep bounds","VIRTUAL CheatManager vtable[+0x2e0] -> 0x35a40d0","(float F) -> void"
CheatManager,CheatManager,CheatScript,"Exec|Native",0x35c6f60,0x35a4310,176,REAL,"49 ins, 4 calls, sweep bounds","final call rel32 (mult=1)","(FString ScriptName) -> void"
CheatManager,CheatManager,DamageTarget,"Exec|Native|BPCallable",0x35c7110,0x35a7720,625,REAL,"136 ins, 6 calls, pdata bounds","VIRTUAL CheatManager vtable[+0x310] -> 0x35a7720","(float DamageAmount) -> void"
CheatManager,CheatManager,DebugCapsuleSweep,"Exec|Native",0x35c71a0,0x35a7b10,135,REAL,"44 ins, 3 calls, pdata bounds","VIRTUAL CheatManager vtable[+0x3a0] -> 0x35a7b10","() -> void"
CheatManager,CheatManager,DebugCapsuleSweepCapture,"Exec|Native",0x35c71c0,0x35a7ba0,32,REAL,"11 ins, 0 calls, sweep bounds","VIRTUAL CheatManager vtable[+0x3c0] -> 0x35a7ba0","() -> void"
CheatManager,CheatManager,DebugCapsuleSweepChannel,"Exec|Native",0x35c71e0,0x35a7bc0,192,REAL,"58 ins, 4 calls, sweep bounds","VIRTUAL CheatManager vtable[+0x3b0] -> 0x35a7bc0","(byte Channel) -> void"
CheatManager,CheatManager,DebugCapsuleSweepClear,"Exec|Native",0x35c7260,0x35a7bd0,161,REAL,"49 ins, 4 calls, pdata bounds","VIRTUAL CheatManager vtable[+0x3d0] -> 0x35a7bd0","() -> void"
