"label","arm","outcome","died_after_arm_s","hold_s","probe","probe_text_sha","game_pid","aslr_base","launch_utc","arm_utc","end_utc","map_load_line","stage_exit","armed","probe_receipt","gft_records","exit_code","fo_dll","new_uecc","new_crashpad","note"
"s112-ctl-01","control","STAGE_FAIL","","330","tutorial_launch_play.dll","513c6277c3ae88f3","51996","","2026-08-07T20:30:37.4680930Z","2026-08-07T20:37:10.3317263Z","2026-08-07T20:37:14.4603568Z","","4","no","","","","tutorial_launch_fo.dll","","","fk24-stage aborted (exit 4)"
"s112-ctl-02","control-pilot","DIED","147","330","tutorial_launch_play.dll","513c6277c3ae88f3","29568","0x7FF6505C0000","2026-08-07T20:39:04.6804951Z","2026-08-07T20:42:28.1357377Z","2026-08-07T20:44:58.7265503Z","","0/att1","yes","","","","tutorial_launch_fo.dll","","yes","PILOT: probe was the a827ef9 candidate 513c6277c3ae88f3, one commit behind HEAD; superseded by the HEAD-built control 433cf7d8f6a0770f. Death classified OURS/protector RIP=0x7FFD3B400001."
"s112-trt-01","treatment","STAGE_FAIL","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T20:47:18.0858833Z","2026-08-07T20:50:42.1384716Z","2026-08-07T20:50:46.3667278Z","","4/att1","no","","","","tutorial_launch_fo.dll","","","fk24-stage aborted (exit 4)"
"s112-trt-02","treatment","STAGE_FAIL","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T20:51:39.4186596Z","2026-08-07T20:54:45.5507400Z","2026-08-07T20:54:49.8869686Z","","4/att1","no","","","","tutorial_launch_fo.dll","","","fk24-stage aborted (exit 4)"
"s112c-ctl-01","control","DIED","135","330","tutorial_launch_play.dll","433cf7d8f6a0770f","52644","0x7FF6505C0000","2026-08-07T20:56:52.4242988Z","2026-08-07T21:00:16.2273138Z","2026-08-07T21:02:35.3204679Z","","0/att1","yes","","","","tutorial_launch_fo.dll","","no",""
"s112c-trt-02","treatment","DIED","101","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","384","0x7FF6505C0000","2026-08-07T21:02:40.4460375Z","2026-08-07T21:06:10.3142121Z","2026-08-07T21:07:54.4586411Z","","0/att1","yes","","","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-03","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-07T21:07:59.5401225Z","2026-08-07T21:13:06.0629278Z","2026-08-07T21:13:10.2658623Z","","5/att1","no","","","","tutorial_launch_fo.dll","","","fk24-stage aborted (exit 5)"
"s112c-ctl-04","control","STAGE_FAIL","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-07T21:13:15.3417374Z","2026-08-07T21:18:24.1763790Z","2026-08-07T21:18:28.3737051Z","","5/att1","no","","","","tutorial_launch_fo.dll","","","fk24-stage aborted (exit 5)"
"s112c-ctl-06","control","DIED","91","330","tutorial_launch_play.dll","433cf7d8f6a0770f","14348","0x7FF6505C0000","2026-08-07T21:21:47.0375524Z","2026-08-07T21:25:25.6768578Z","2026-08-07T21:27:15.5072977Z","","0/att1","yes","truncated-ok","90->91","0xC0000005","tutorial_launch_fo.dll","","no",""
"s112c-trt-07","treatment","STAGE_DEATH","","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","","0x7FF6505C0000","2026-08-07T21:27:20.6078425Z","2026-08-07T21:30:29.3463119Z","2026-08-07T21:30:48.5658182Z","","5/att1","no","no-snapshot","91->92","","tutorial_launch_fo.dll","","","game died during staging, before the probe was injected (stage exit 5)"
