kind,name,key,shift,ctrl,alt,cmd,scale,group,ability_input_id,bound,shipped_diff
action,AirshipBoost,SpaceBar,0,0,0,0,,airship,,1,
action,AirshipForward,LeftMouseButton,0,0,0,0,,airship,,1,
action,AirshipReverse,RightMouseButton,0,0,0,0,,airship,,1,
action,AirshipTurnSpeedBoost,LeftShift,0,0,0,0,,airship,,1,
action,AirshipTurretFire,LeftMouseButton,0,0,0,0,,airship,,1,
action,AdjustCameraOffset,None,0,0,0,0,,camera,,0,
action,AllyCamera2,F2,0,0,0,0,,camera,,1,
action,AllyCamera3,F3,0,0,0,0,,camera,,1,
action,AllyCamera4,F4,0,0,0,0,,camera,,1,
action,CameraHoldToLockRotation,None,0,0,0,0,,camera,,0,
action,CameraLockToCursor,None,0,0,0,0,,camera,,0,
action,CameraSetRotation,None,0,0,0,0,,camera,,0,
action,DragPanCamera,None,0,0,0,0,,camera,,0,
action,MinimapCameraPanModifierKey,LeftAlt,0,0,0,0,,camera,,1,
action,Reset Free Camera,None,0,0,0,0,,camera,,0,
action,SmartZoom,F2,0,0,0,0,,camera,,1,
action,Switch Camera Mode,None,0,0,0,0,,camera,,0,
action,ZoomCameraIn,MouseScrollUp,0,0,0,0,,camera,,1,
action,ZoomCameraOut,MouseScrollDown,0,0,0,0,,camera,,1,
action,CheatBoopSelf,None,0,0,0,0,,cheat,,0,
action,CheatForceKillCursor,None,0,0,0,0,,cheat,,0,
action,CheatItemCleanup,None,0,0,0,0,,cheat,,0,
action,CheatKillMe,Subtract,0,0,0,0,,cheat,,1,
action,CheatLevelUp,None,0,0,0,0,,cheat,,0,
action,CheatMenusLastPage,Subtract,0,0,0,0,,cheat,,1,
action,CheatMenusNextPage,Add,0,0,0,0,,cheat,,1,
action,CheatMenusPlayFinisherAnim,NumPadThree,0,0,0,0,,cheat,,1,
action,CheatMenusPlayLockinAnim,NumPadTwo,0,0,0,0,,cheat,,1,
action,CheatMenusPlayRespawnAnim,NumPadOne,0,0,0,0,,cheat,,1,
action,CheatMoveFixedCamera,None,0,0,0,0,,cheat,,0,
action,CheatNextHero,Period,0,0,0,0,,cheat,,1,
action,CheatPreviousHero,Comma,0,0,0,0,,cheat,,1,
action,CheatRefreshCooldowns,K,0,0,0,0,,cheat,,1,
action,CheatRefreshSelf,P,0,0,0,0,,cheat,,1,
action,CheatRespawnSelf,NumPadFive,0,0,0,0,,cheat,,1,
action,CheatReturnToStoredLocation,V,0,1,0,0,,cheat,,1,
action,CheatRotateFixedCamera,None,0,0,0,0,,cheat,,0,
action,CheatSpawnAlliedDummy,None,0,0,0,0,,cheat,,0,
action,CheatSpawnDesignatedSurvivor,None,0,0,0,0,,cheat,,0,
action,CheatSpawnEnemyDummy,None,0,0,0,0,,cheat,,0,
action,CheatStoreLocation,C,0,1,0,0,,cheat,,1,
