[0] mainmenu_refresh_pi5 (POSITIVE CONTROL: UpdateSlot via ProcessEvent) started
[1] gameTid=54388
[2] resolved updateSlot=000001D3FCE81500 subject0=0x1D3FFC8B700 (Slot@+0xE8=0) member=0x1D362545100
[3] hook built. Open HUNTERS + click a hunter.
[PICK] Hero:Alchemist
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3289510 calls=0 hitsGT=0 hooked=0
[PICK] Hero:RONIN
[MIRROR] member <- Hero:RONIN
[armed] subject0.Slot sentinel=99; calling UpdateSlot(subject0,{0}) via ProcessEvent...
[VERDICT] UpdateSlot called #1. subject0.Slot AFTER = 99  ==>  ProcessEvent NO-OP (Slot stayed 99, function NOT invoked)
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
[hb] member=Hero:RONIN desired=2426025 calls=1 hitsGT=1 hooked=0
