[0] mainmenu_refresh_pi6 (OPTION B: UpdateSlot via ProcessInternal + built FFrame) started
[1] gameTid=68996
[2] resolved updateSlot=0000012A7A1A1E00 subject0=0x12A7BE3F200 (Slot@+0xE8=0) member=0x129E3F9CB80
[3] hook built. Open HUNTERS + click a hunter.
[PICK] Hero:Alchemist
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
[hb] member=Hero:Alchemist desired=3291671 calls=0 hitsGT=0 hooked=0
