t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.001,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.254,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.506,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.757,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.010,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.262,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.514,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.767,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.019,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.272,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.525,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.778,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.031,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
3.286,sweep,,,,,,,,,,,,,live=50464 free=7624 reachbit=None bit30=77.9
3.539,sweep,,,,,,,,,,,,,live=69024 free=5704 reachbit=1 bit30=57.0
3.793,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
4.048,sweep,,,,,,,,,,,,,live=85328 free=5704 reachbit=1 bit30=46.1
4.301,sweep,,,,,,,,,,,,,live=113736 free=5704 reachbit=1 bit30=34.6
4.555,sweep,,,,,,,,,,,,,live=130128 free=5704 reachbit=1 bit30=30.2
4.810,sweep,,,,,,,,,,,,,live=159576 free=5704 reachbit=1 bit30=24.6
5.063,sweep,,,,,,,,,,,,,live=181064 free=5704 reachbit=1 bit30=21.7
5.316,sweep,,,,,,,,,,,,,live=182952 free=5704 reachbit=1 bit30=21.5
5.569,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
5.821,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.074,sweep,,,,,,,,,,,,,live=183384 free=5704 reachbit=1 bit30=21.4
