t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.253,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
2.505,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
2.758,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
3.010,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
3.263,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
3.515,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
3.768,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
4.021,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
4.273,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
4.526,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
4.779,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
5.031,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
5.283,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
5.536,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
5.788,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
6.040,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
6.293,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
6.545,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
6.797,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
7.050,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
7.303,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
7.554,sweep,,,,,,,,,,,,,live=177208 free=12512 reachbit=1 bit30=22.2
7.807,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
