t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.087,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.340,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.591,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.844,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.096,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.349,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.601,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.854,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.106,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.360,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.612,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.863,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
