t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.363,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.616,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.869,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.120,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.373,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.625,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.878,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.131,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.383,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.636,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.889,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
5.142,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
5.395,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
5.646,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
5.898,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
6.149,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
6.403,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
6.655,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
6.908,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
7.160,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
7.412,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
7.665,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
7.916,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
8.169,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
8.421,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
8.674,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
8.926,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
9.178,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
9.431,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
9.684,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
9.937,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
10.191,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
10.443,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
10.696,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
10.948,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
11.200,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
11.452,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
11.704,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
11.957,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
12.210,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
12.463,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
12.716,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
12.969,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
13.222,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
13.474,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
13.728,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
13.980,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
14.232,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
14.485,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
14.738,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
14.989,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
15.241,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
15.494,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
15.745,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
15.999,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
16.251,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
16.504,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
16.757,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
17.009,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
17.263,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
17.515,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
17.766,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
18.019,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
18.271,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
18.524,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
18.777,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
19.029,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
19.281,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
19.533,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
19.787,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
20.041,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
20.293,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
20.547,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
20.800,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
21.053,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
21.306,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
21.559,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
21.811,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
22.064,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
22.317,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
22.571,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
22.823,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.075,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.328,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.581,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
23.834,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.088,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.340,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.592,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
24.844,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
