t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.077,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.329,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.581,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
2.833,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.085,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.339,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.590,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
3.843,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.095,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.348,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.600,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
4.853,sweep,,,,,,,,,,,,,live=177216 free=12504 bits30=22.2
