t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.033,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.286,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.538,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.790,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.042,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.295,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.547,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.799,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.053,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.305,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.557,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.809,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.061,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.313,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.565,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
3.818,sweep,,,,,,,,,,,,,live=51520 free=6568 reachbit=None bit30=76.3
4.071,sweep,,,,,,,,,,,,,live=71528 free=5704 reachbit=1 bit30=55.0
4.325,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
4.578,sweep,,,,,,,,,,,,,live=86272 free=5704 reachbit=1 bit30=45.6
4.831,sweep,,,,,,,,,,,,,live=115520 free=5704 reachbit=1 bit30=34.0
5.085,sweep,,,,,,,,,,,,,live=130352 free=5704 reachbit=1 bit30=30.2
5.337,sweep,,,,,,,,,,,,,live=161408 free=5704 reachbit=1 bit30=24.4
5.590,sweep,,,,,,,,,,,,,live=181368 free=5704 reachbit=1 bit30=21.7
5.843,sweep,,,,,,,,,,,,,live=182776 free=5704 reachbit=1 bit30=21.5
6.094,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.347,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.599,sweep,,,,,,,,,,,,,live=183384 free=5704 reachbit=1 bit30=21.4
6.851,sweep,,,,,,,,,,,,,live=183384 free=5704 reachbit=1 bit30=21.4
7.102,sweep,,,,,,,,,,,,,live=183416 free=5704 reachbit=1 bit30=21.4
7.354,sweep,,,,,,,,,,,,,live=183416 free=5704 reachbit=1 bit30=21.4
7.607,sweep,,,,,,,,,,,,,live=183440 free=5704 reachbit=1 bit30=21.4
7.860,sweep,,,,,,,,,,,,,live=183456 free=5704 reachbit=1 bit30=21.4
8.113,sweep,,,,,,,,,,,,,live=183464 free=5704 reachbit=1 bit30=21.4
8.365,sweep,,,,,,,,,,,,,live=183488 free=5704 reachbit=1 bit30=21.4
8.617,sweep,,,,,,,,,,,,,live=183488 free=5704 reachbit=1 bit30=21.4
8.870,sweep,,,,,,,,,,,,,live=183496 free=5704 reachbit=1 bit30=21.4
9.122,sweep,,,,,,,,,,,,,live=183504 free=5704 reachbit=1 bit30=21.4
9.374,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
9.626,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
9.878,sweep,,,,,,,,,,,,,live=183520 free=5704 reachbit=1 bit30=21.4
10.132,sweep,,,,,,,,,,,,,live=183528 free=5704 reachbit=1 bit30=21.4
10.385,sweep,,,,,,,,,,,,,live=183528 free=5704 reachbit=1 bit30=21.4
10.637,sweep,,,,,,,,,,,,,live=183536 free=5704 reachbit=1 bit30=21.4
10.890,sweep,,,,,,,,,,,,,live=183536 free=5704 reachbit=1 bit30=21.4
11.143,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
11.396,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
11.650,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
11.904,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
12.156,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
12.407,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
12.660,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
12.912,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.164,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.418,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.671,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.924,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.177,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.430,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.682,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.935,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.187,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.441,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
