t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.032,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.285,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.538,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
0.790,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.042,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.294,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.546,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
1.799,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.051,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.303,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.555,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
2.806,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.059,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.310,sweep,,,,,,,,,,,,,live=52376 free=5704 reachbit=None bit30=75.1
3.562,sweep,,,,,,,,,,,,,live=52384 free=5704 reachbit=None bit30=75.1
3.815,sweep,,,,,,,,,,,,,live=52400 free=5704 reachbit=None bit30=75.0
4.068,sweep,,,,,,,,,,,,,live=73848 free=5704 reachbit=1 bit30=53.2
4.320,sweep,,,,,,,,,,,,,live=85096 free=5704 reachbit=1 bit30=46.2
4.574,sweep,,,,,,,,,,,,,live=86232 free=5704 reachbit=1 bit30=45.6
4.827,sweep,,,,,,,,,,,,,live=112864 free=5704 reachbit=1 bit30=34.8
5.081,sweep,,,,,,,,,,,,,live=128128 free=5704 reachbit=1 bit30=30.7
5.336,sweep,,,,,,,,,,,,,live=155536 free=5704 reachbit=1 bit30=25.3
5.590,sweep,,,,,,,,,,,,,live=177176 free=5704 reachbit=1 bit30=22.2
5.843,sweep,,,,,,,,,,,,,live=182272 free=5704 reachbit=1 bit30=21.6
6.096,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.349,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.602,sweep,,,,,,,,,,,,,live=183376 free=5704 reachbit=1 bit30=21.4
6.855,sweep,,,,,,,,,,,,,live=183384 free=5704 reachbit=1 bit30=21.4
7.109,sweep,,,,,,,,,,,,,live=183384 free=5704 reachbit=1 bit30=21.4
7.361,sweep,,,,,,,,,,,,,live=183416 free=5704 reachbit=1 bit30=21.4
7.614,sweep,,,,,,,,,,,,,live=183440 free=5704 reachbit=1 bit30=21.4
7.866,sweep,,,,,,,,,,,,,live=183440 free=5704 reachbit=1 bit30=21.4
8.120,sweep,,,,,,,,,,,,,live=183448 free=5704 reachbit=1 bit30=21.4
8.372,sweep,,,,,,,,,,,,,live=183456 free=5704 reachbit=1 bit30=21.4
8.625,sweep,,,,,,,,,,,,,live=183464 free=5704 reachbit=1 bit30=21.4
8.877,sweep,,,,,,,,,,,,,live=183488 free=5704 reachbit=1 bit30=21.4
9.130,sweep,,,,,,,,,,,,,live=183488 free=5704 reachbit=1 bit30=21.4
9.384,sweep,,,,,,,,,,,,,live=183488 free=5704 reachbit=1 bit30=21.4
9.638,sweep,,,,,,,,,,,,,live=183496 free=5704 reachbit=1 bit30=21.4
9.891,sweep,,,,,,,,,,,,,live=183496 free=5704 reachbit=1 bit30=21.4
10.143,sweep,,,,,,,,,,,,,live=183504 free=5704 reachbit=1 bit30=21.4
10.396,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
10.648,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
10.900,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
11.154,sweep,,,,,,,,,,,,,live=183512 free=5704 reachbit=1 bit30=21.4
11.408,sweep,,,,,,,,,,,,,live=183520 free=5704 reachbit=1 bit30=21.4
11.661,sweep,,,,,,,,,,,,,live=183528 free=5704 reachbit=1 bit30=21.4
11.913,sweep,,,,,,,,,,,,,live=183528 free=5704 reachbit=1 bit30=21.4
12.167,sweep,,,,,,,,,,,,,live=183536 free=5704 reachbit=1 bit30=21.4
12.419,sweep,,,,,,,,,,,,,live=183536 free=5704 reachbit=1 bit30=21.4
12.671,sweep,,,,,,,,,,,,,live=183936 free=5704 reachbit=1 bit30=21.4
12.924,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.177,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.429,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.683,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
13.936,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.187,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.439,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.693,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
14.945,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.198,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.450,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.703,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
15.956,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
16.208,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
16.462,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
16.715,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
16.968,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.221,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.474,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.727,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
17.980,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.234,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.487,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.739,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
18.992,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.245,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.499,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
19.753,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.006,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.260,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.512,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
20.764,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.017,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.269,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.523,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
21.776,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.030,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.283,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.537,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
22.789,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.042,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.293,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.547,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
23.800,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.053,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.306,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.558,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
24.811,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.063,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.316,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.569,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
25.822,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.074,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.326,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.579,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
26.833,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.086,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.338,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.590,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
27.849,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.101,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.355,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.610,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
28.864,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.118,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.370,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.622,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
29.875,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
30.128,sweep,,,,,,,,,,,,,live=184480 free=5704 reachbit=1 bit30=21.3
30.380,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.633,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
30.886,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.140,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.392,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.647,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
31.900,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.153,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.405,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.658,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
32.911,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.163,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.416,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.669,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
33.921,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.173,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.427,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.679,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
34.933,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.185,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.438,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.691,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
35.944,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.198,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.449,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.702,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
36.954,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.208,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.459,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.712,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
37.965,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.218,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.471,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.724,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
38.977,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.230,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.483,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.736,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
39.988,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.240,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.491,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.744,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
40.998,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.250,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.503,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
41.756,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.008,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.260,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.512,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
42.765,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.018,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.271,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.523,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
43.775,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
44.028,sweep,,,,,,,,,,,,,live=185144 free=5704 reachbit=1 bit30=21.2
