t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.237,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
2.489,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
2.743,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
2.996,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
3.249,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
3.502,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
3.754,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
4.005,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
4.257,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
4.511,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
4.764,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
5.015,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
5.266,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
5.519,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
5.771,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
6.023,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
6.275,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
6.526,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
6.779,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
7.031,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
7.283,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
7.536,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
7.789,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
8.041,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
8.295,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
8.548,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
8.800,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
9.052,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
9.305,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
9.558,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
9.810,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
10.063,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
10.316,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
10.568,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
10.821,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
11.073,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
11.324,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
11.576,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
11.829,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
12.082,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
12.334,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
12.588,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
12.840,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
13.093,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
13.347,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
13.600,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
13.852,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
14.105,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
14.357,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
14.611,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=1 bit30=22.2
