t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
2.169,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
2.421,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
2.673,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
2.926,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
3.178,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
3.430,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
3.682,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
3.934,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
4.188,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
4.440,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
4.692,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
4.945,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
5.198,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
5.451,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
5.703,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
5.955,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
6.209,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
6.462,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
6.714,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
6.966,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
7.218,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
7.470,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
7.722,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
7.975,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
8.228,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
8.480,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
8.732,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
8.985,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
9.237,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
9.489,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
9.741,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
9.995,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
10.248,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
10.501,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
10.754,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
11.008,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
11.261,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
11.514,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
11.767,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
12.019,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
12.272,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
12.524,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
12.778,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
13.031,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
13.283,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
13.536,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
13.788,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
14.041,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
14.293,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
14.546,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
14.799,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
15.052,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
15.305,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
15.558,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
15.811,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
16.064,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
16.316,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
16.568,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
16.821,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
17.073,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
17.324,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
17.577,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
17.831,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
18.084,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
18.336,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
18.588,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
18.841,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
19.093,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
19.345,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
19.597,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
19.851,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.103,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
20.355,sweep,,,,,,,,,,,,,live=177216 free=12504 reachbit=0 bit30=22.2
