t_s,kind,tag,idx,item_obj,item_flags,item_cluster,item_serial,obj_vt,obj_flags,obj_idx,obj_class,obj_name,gcalive,note
0.001,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=0 bit30=22.2
0.254,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=0 bit30=22.2
0.507,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=0 bit30=22.2
0.760,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=0 bit30=22.2
1.013,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=2 bit30=22.2
1.265,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=2 bit30=22.2
1.519,sweep,,,,,,,,,,,,,live=177336 free=13512 reachbit=2 bit30=22.2
1.772,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
2.025,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
2.277,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
2.530,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
2.783,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
3.036,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
3.290,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
3.542,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
3.795,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
4.047,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
4.299,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
4.552,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
4.804,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
5.056,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
5.308,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
5.560,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
5.812,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
6.064,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
6.317,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
6.570,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
6.824,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
7.077,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
7.329,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
7.581,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
7.833,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
8.085,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
8.338,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
8.590,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
8.842,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
9.094,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
9.347,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
9.600,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
9.853,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
10.106,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
10.357,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
10.610,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
10.863,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
11.116,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
11.368,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
11.621,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
11.874,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
12.126,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
12.379,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
12.634,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
12.887,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
13.140,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
13.393,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
13.646,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
13.900,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
14.154,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
14.406,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
14.660,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
14.912,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
15.165,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
15.418,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
15.671,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
15.924,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
16.177,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
16.429,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
16.682,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
16.935,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
17.187,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
17.440,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
17.693,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
17.947,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
18.199,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
18.451,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
18.704,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
18.957,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
19.210,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
19.462,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
19.714,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
19.966,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
20.219,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
20.471,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
20.724,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
20.976,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
21.229,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
21.480,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
21.733,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
21.986,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
22.238,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
22.491,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
22.744,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
22.996,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
23.248,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
23.500,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
23.753,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
24.006,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
24.259,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
24.511,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
24.766,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
25.018,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
25.270,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
25.523,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
25.776,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
26.029,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
26.281,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
26.533,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
26.786,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
27.038,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
27.291,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
27.545,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
27.797,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
28.049,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
28.301,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
28.554,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
28.809,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
29.061,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
29.314,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
29.565,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
29.818,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
30.070,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
30.323,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
30.576,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
30.829,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
31.080,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
31.332,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
31.583,sweep,,,,,,,,,,,,,live=177344 free=13504 reachbit=2 bit30=22.2
31.836,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
32.088,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
32.340,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
32.594,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
32.847,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
33.099,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
33.352,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
33.604,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
33.856,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
34.109,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
34.362,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
34.615,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
34.868,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
35.121,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
35.374,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
35.626,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
35.878,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
36.131,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
36.384,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
36.636,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
36.889,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
37.141,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
37.394,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
37.645,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
37.899,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
38.152,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
38.404,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
38.656,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
38.908,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
39.159,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
39.411,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
39.664,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
39.915,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
40.168,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
40.420,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
40.672,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
40.925,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
41.177,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
41.429,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
41.682,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
41.935,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
42.188,sweep,,,,,,,,,,,,,live=177352 free=13496 reachbit=2 bit30=22.2
