[FP] pid=16840 SUPERVIVE base=0x7ff6d71c0000 iters=10 interval=0.5s
[ 1/10] t+0ms  C1=0  C2=3319  C3=0  C4=0  C5=0  C6=3081
[ 2/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 3/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 4/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 5/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 6/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 7/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 8/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[ 9/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[10/10] t+0ms  C1=0(+0)  C2=3319(+0)  C3=0(+0)  C4=0(+0)  C5=0(+0)  C6=3081(+0)
[FP] done
