[0] shim_watch worker started
[0] base=0x7FF682A80000
[0] FName(0x1A568)="Hero"
[find] pickers=8 liveMember=0x26C72BCE400 HeroAssetID=Hero:RONIN
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
[hb] np=8 member=0x26C72BCE400 writes=0 desired=0
