rva,section,recorded_name,proposed_name,proposed_class,confidence,verdict,name_check,fn_entry,fn_offset,fn_tier,fn_extent,n_strings,evidence,why,record_kind,n_sources,sources,recorded_alts,sample_context
0x0100000,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0100000 is all-zero in this dump (never decrypted),bare,2,tools/re/find_guobjectarray.py,,"buf = rpm(a, 0x100000)"
0x0100001,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0100000 is all-zero in this dump (never decrypted),bare,1,tools/re/gt_sampler.py,,CONTEXT_CONTROL = 0x00100001
0x0100002,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0100000 is all-zero in this dump (never decrypted),bare,1,tools/re/gt_sampler.py,,CONTEXT_INTEGER = 0x00100002
0x0107ACC,.text,DA_MissionPoolWeekly_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0107000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [15/16] calling AddDynamicAsset for DA_MissionPoolWeekly_Planbee (id-Name=0x00142409 pkg=0x0025D3DB cls=0x00107ACC)
0x0117A37,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0117000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolTutorialMaps             = 0x00117A37;
0x0117FAC,.text,WBP_UI_MissionModal_C,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0117000 is all-zero in this dump (never decrypted),bare,2,docs/lokiassetmanager-vtable-dump.md;git-log,CmpIdx;NamePrivate,"0x00117FAC = ""WBP_UI_MissionModal_C"" base, Number 0x7FFF9D50). Outer"
0x011CE60,.text,DA_MissionPoolWeeklyChallenge,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x011C000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [13/16] calling AddDynamicAsset for DA_MissionPoolWeeklyChallenge (id-Name=0x002FA99A pkg=0x00292B55 cls=0x0011CE60)
0x0120ABC,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0120000 is all-zero in this dump (never decrypted),bare,1,docs/catalog-probe-marker.txt,,[dump]  [7] key.Type=0x1A568 key.Name=0x120ABC val=0x210616DC2C0 [val+0xc]=0x280031
0x012225E,.text,DA_MissionPoolTutorialMaps,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0122000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [11/16] calling AddDynamicAsset for DA_MissionPoolTutorialMaps (id-Name=0x0012225E pkg=0x001D0A37 cls=0x003F2DC6)
0x01322F6,.text,DA_MissionPoolDailyEasy_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0132000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 5/16] calling AddDynamicAsset for DA_MissionPoolDailyEasy_Planbee (id-Name=0x0006EC93 pkg=0x001322F6 cls=0x0049FAAC)
