[0] trace_caller worker started
[0] modBase=0x7FF682A80000 vtable=0x7FF68B30CB78
[2] origs: Obj=0x7FF685F3FB50 Idl=0x7FF685F3F320 Cbs=0x7FF685F2F2A0
[3] hooks installed: Obj=1 Idl=1 Cbs=1
[hb] head=0 idlCallers=0 objCallers=0 cbsCallers=0 unhooked=0
[GetIdList Hero] <- caller RVA +0x562EBFE  (retaddr=0x7FF6880AEBFE)
[GetIdList Hero] <- caller RVA +0x3965BFC  (retaddr=0x7FF6863E5BFC)
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=0
[unhook] vtable slots restored
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
[hb] head=138 idlCallers=2 objCallers=0 cbsCallers=0 unhooked=1
