name,served,landed,predict_land,internal_name,has_own_internalname,iname_eq_filename_ci,registry_owner,class_abstract,parent,cookrule_eff,shipping_version,pool_eff,hero,xp,n_objectives,path
Alchemist_HealWithQ,True,False,False,,False,False,,True,,Never,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_HealWithQ.1
Alchemist_HealWithQ_1,True,True,True,Alchemist_HealWithQ_1,True,True,Alchemist_HealWithQ_1,False,Alchemist_HealWithQ,Production,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_HealWithQ_1.1
Alchemist_HealWithQ_2,True,True,True,Alchemist_HealWithQ_2,True,True,Alchemist_HealWithQ_2,False,Alchemist_HealWithQ,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_HealWithQ_2.1
Alchemist_HealWithQ_3,True,True,True,Alchemist_HealWithQ_3,True,True,Alchemist_HealWithQ_3,False,Alchemist_HealWithQ,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_HealWithQ_3.1
Alchemist_MortarDamage,True,False,False,,False,False,,True,,Never,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_MortarDamage.1
Alchemist_MortarDamage_1,True,True,True,Alchemist_MortarDamage_1,True,True,Alchemist_MortarDamage_1,False,Alchemist_MortarDamage,Production,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_MortarDamage_1.1
Alchemist_MortarDamage_2,True,True,True,Alchemist_MortarDamage_2,True,True,Alchemist_MortarDamage_2,False,Alchemist_MortarDamage,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_MortarDamage_2.1
Alchemist_MortarDamage_3,True,True,True,Alchemist_MortarDamage_3,True,True,Alchemist_MortarDamage_3,False,Alchemist_MortarDamage,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_MortarDamage_3.1
Alchemist_UltMultihit,True,False,False,,False,False,,True,,Never,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_UltMultihit.1
Alchemist_UltMultihit_1,False,False,True,Alchemist_UltMultihit_1,True,True,Alchemist_UltMultihit_1,False,Alchemist_UltMultihit,Production,1.2,HunterMissions,Alchemist,10000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_UltMultihit_1.1
Alchemist_UltMultihit_2,True,True,True,Alchemist_UltMultihit_2,True,True,Alchemist_UltMultihit_2,False,Alchemist_UltMultihit,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_UltMultihit_2.1
