
######## global 0x09E38920: 77 disp32 cands, 74 verified insns
  0x011CC013  fn 0x011CC000..0x011CC1F2 [read ] lea rax, [rip + 0x8c6c906]
  0x01250AD1  fn 0x01250A40..0x01250D55 [read ] mov r9d, dword ptr [rip + 0x8be7e48]
  0x012571CA  fn 0x012571B0..0x0125721C [read ] lea rcx, [rip + 0x8be174f]
  0x01258FA8  fn 0x01258F70..0x0125901C [read ] sub eax, dword ptr [rip + 0x8bdf972]
  0x01259162  fn 0x01259020..0x01259371 [read ] mov r9d, dword ptr [rip + 0x8bdf7b7]
  0x0125A1C6  fn 0x0125A096..0x0125A1F2 [read ] sub eax, dword ptr [rip + 0x8bde754]
  0x0129DBA1  fn 0x0129DB90..0x0129DBB2 [read ] lea rcx, [rip + 0x8b9ad78]
  0x0129DC51  fn 0x0129DC40..0x0129DC62 [read ] lea rcx, [rip + 0x8b9acc8]
  0x0129E822  fn 0x0129E67A..0x0129E877 [read ] lea rcx, [rip + 0x8b9a0f7]
  0x012B8471  fn 0x012B83A0..0x012B8496 [read ] lea rcx, [rip + 0x8b804a8]
  0x012B85DF  fn 0x012B8560..0x012B8606 [read ] lea rcx, [rip + 0x8b8033a]
  0x012C38BC  fn 0x012C3890..0x012C38E7 [read ] lea rcx, [rip + 0x8b7505d]
  0x012C38CB  fn 0x012C3890..0x012C38E7 [read ] lea rcx, [rip + 0x8b7504e]
  0x012C4FB8  fn 0x012C4CA0..0x012C505F [read ] lea rcx, [rip + 0x8b73961]
  0x012CAAB1  fn 0x012CAAA0..0x012CAAC2 [read ] lea rcx, [rip + 0x8b6de68]
  0x012CBE05  fn 0x012CBD20..0x012CBE26 [read ] lea rcx, [rip + 0x8b6cb14]
  0x012CBF09  fn 0x012CBE30..0x012CBF30 [read ] lea rcx, [rip + 0x8b6ca10]
  0x012D3915  fn 0x012D3871..0x012D3978 [read ] lea rcx, [rip + 0x8b65004]
