
######## global 0x099D36A0: 114 disp32 cands, 109 verified insns
  0x01258F96  fn 0x01258F70..0x0125901C [WRITE] mov dword ptr [rip + 0x877a704], eax
  0x01323D2B  fn 0x01323CE0..0x01323F15 [WRITE] test dword ptr [rip + 0x86af96f], eax

######## global 0x099D36A4: 294 disp32 cands, 280 verified insns
  0x011D3219  fn 0x011D31E2..0x011D32A0 [WRITE] test dword ptr [rip + 0x8800485], eax
  0x011DCFBB  fn 0x011DCDCA..0x011DD017 [WRITE] test dword ptr [rip + 0x87f66e3], eax
  0x01202FF5  fn 0x01202F8C..0x0120302B [WRITE] test dword ptr [rip + 0x87d06a9], eax
  0x01203080  fn 0x0120302B..0x01203086 [WRITE] test dword ptr [rip + 0x87d061e], eax
  0x0120312A  fn 0x01203086..0x0120313F [WRITE] test dword ptr [rip + 0x87d0574], eax
  0x0120F156  fn 0x0120F0D5..0x0120F208 [WRITE] test dword ptr [rip + 0x87c4548], eax
  0x0123527A  fn 0x0123521D..0x012352DD [WRITE] test dword ptr [rip + 0x879e424], eax
  0x0123546A  fn 0x01235336..0x012354C3 [WRITE] test dword ptr [rip + 0x879e234], eax
  0x012355D9  fn 0x01235510..0x012356B0 [WRITE] test dword ptr [rip + 0x879e0c5], ecx
  0x012398CE  fn 0x012398C2..0x01239980 [WRITE] mov dword ptr [rip + 0x8799dd0], eax
  0x01239B82  fn 0x01239B76..0x01239C33 [WRITE] mov dword ptr [rip + 0x8799b1c], eax
  0x0123D720  fn 0x0123D6CC..0x0123D841 [WRITE] test dword ptr [rip + 0x8795f7e], eax
  0x0123D902  fn 0x0123D8B9..0x0123D9B8 [WRITE] test dword ptr [rip + 0x8795d9c], eax
  0x01256AA1  fn 0x01256A57..0x01256B90 [WRITE] test dword ptr [rip + 0x877cbfd], eax
  0x012C3416  fn 0x012C33B0..0x012C3460 [WRITE] test dword ptr [rip + 0x8710288], eax
  0x012C39F5  fn 0x012C3990..0x012C3A2E [WRITE] test dword ptr [rip + 0x870fca9], eax
  0x012C7D3C  fn 0x012C7D06..0x012C7D83 [WRITE] test dword ptr [rip + 0x870b962], eax
  0x012CB0D3  fn 0x012CB060..0x012CB10B [WRITE] test dword ptr [rip + 0x87085cb], eax
  0x0130DC3A  fn 0x0130DB90..0x0130DCE4 [WRITE] test dword ptr [rip + 0x86c5a64], eax
  0x0130DDAE  fn 0x0130DCF0..0x0130DF76 [WRITE] test dword ptr [rip + 0x86c58f0], eax
  0x014BBE73  fn 0x014BBDC0..0x014BBEF6 [WRITE] test dword ptr [rip + 0x851782b], eax
  0x01F40B4C  fn 0x01F40860..0x01F40C7E [WRITE] test dword ptr [rip + 0x7a92b52], eax
  0x02BE1E4F  fn 0x02BE1DE0..0x02BE1EC4 [WRITE] test dword ptr [rip + 0x6df184f], eax
  0x02C5F277  fn 0x02C5F210..0x02C5F424 [WRITE] test dword ptr [rip + 0x6d74427], eax
  0x02CA37FE  fn 0x02CA36D6..0x02CA38C0 [WRITE] test dword ptr [rip + 0x6d2fea0], eax
  0x02CD8373  fn 0x02CD82E4..0x02CD83F1 [WRITE] test dword ptr [rip + 0x6cfb32b], eax
  0x02CD84D2  fn 0x02CD8410..0x02CD8507 [WRITE] test dword ptr [rip + 0x6cfb1cc], ecx
  0x02CFA49B  fn 0x02CFA3B0..0x02CFA50F [WRITE] test dword ptr [rip + 0x6cd9203], eax
  0x02D16505  fn 0x02D1648B..0x02D1656D [WRITE] test dword ptr [rip + 0x6cbd199], eax
  0x02D1F13E  fn 0x02D1F0C2..0x02D1F2F6 [WRITE] test dword ptr [rip + 0x6cb4560], eax
  0x02D2DB55  fn 0x02D2DB11..0x02D2DB81 [WRITE] test dword ptr [rip + 0x6ca5b49], eax
  0x02FAACE9  fn 0x02FAAC34..0x02FAAFD0 [WRITE] test dword ptr [rip + 0x6a289b5], eax
  0x02FAB14D  fn 0x02FAB009..0x02FAB288 [WRITE] test dword ptr [rip + 0x6a28551], eax
  0x02FAB374  fn 0x02FAB2C3..0x02FAB5D0 [WRITE] test dword ptr [rip + 0x6a2832a], eax
  0x02FAB739  fn 0x02FAB608..0x02FAB86C [WRITE] test dword ptr [rip + 0x6a27f65], eax
  0x02FAB954  fn 0x02FAB8A3..0x02FABBB0 [WRITE] test dword ptr [rip + 0x6a27d4a], eax
  0x02FABD19  fn 0x02FABBE8..0x02FABE4C [WRITE] test dword ptr [rip + 0x6a27985], eax
  0x030207D8  fn 0x03020734..0x03020ACE [WRITE] test dword ptr [rip + 0x69b2ec6], eax
  0x03020C30  fn 0x03020B06..0x03020D7C [WRITE] test dword ptr [rip + 0x69b2a6e], eax
  0x0306342B  fn 0x030633F2..0x03063461 [WRITE] test dword ptr [rip + 0x6970273], eax
  0x03063524  fn 0x030634D5..0x0306355A [WRITE] test dword ptr [rip + 0x697017a], eax
  0x030635F9  fn 0x03063560..0x03063634 [WRITE] test dword ptr [rip + 0x69700a5], eax
  0x030636D9  fn 0x03063640..0x03063714 [WRITE] test dword ptr [rip + 0x696ffc5], eax
  0x030637B3  fn 0x03063720..0x030637F1 [WRITE] test dword ptr [rip + 0x696feeb], eax
  0x03063895  fn 0x03063800..0x030638CA [WRITE] test dword ptr [rip + 0x696fe09], eax
  0x03063991  fn 0x030638D0..0x030639C6 [WRITE] test dword ptr [rip + 0x696fd0d], eax
  0x03063A8E  fn 0x030639D0..0x03063AC3 [WRITE] test dword ptr [rip + 0x696fc10], eax
  0x03063B69  fn 0x03063AD0..0x03063BA4 [WRITE] test dword ptr [rip + 0x696fb35], eax
  0x03063C49  fn 0x03063BB0..0x03063C84 [WRITE] test dword ptr [rip + 0x696fa55], eax
  0x03063D1A  fn 0x03063C90..0x03063D55 [WRITE] test dword ptr [rip + 0x696f984], eax
  0x0314EC83  fn 0x0314EC40..0x0314ECD6 [WRITE] test dword ptr [rip + 0x6884a1b], eax
  0x031540AA  fn 0x03154040..0x031541DF [WRITE] test dword ptr [rip + 0x687f5f4], eax
  0x0315497C  fn 0x03154920..0x03154A04 [WRITE] test dword ptr [rip + 0x687ed22], eax
  0x03154AAA  fn 0x03154A54..0x03154B00 [WRITE] test dword ptr [rip + 0x687ebf4], eax
  0x03154BB8  fn 0x03154B40..0x03154C41 [WRITE] test dword ptr [rip + 0x687eae6], eax
  0x03155222  fn 0x031551CC..0x0315527B [WRITE] test dword ptr [rip + 0x687e47c], eax
  0x0315535A  fn 0x03155304..0x031553B0 [WRITE] test dword ptr [rip + 0x687e344], eax
  0x031554A1  fn 0x031553F0..0x031555CD [WRITE] test dword ptr [rip + 0x687e1fd], eax
  0x03155B01  fn 0x03155A50..0x03155C2D [WRITE] test dword ptr [rip + 0x687db9d], eax
  0x03155C8A  fn 0x03155C30..0x03155CED [WRITE] test dword ptr [rip + 0x687da14], eax
  0x03155D3E  fn 0x03155CF0..0x03155D91 [WRITE] test dword ptr [rip + 0x687d960], eax
  0x03155DFC  fn 0x03155DA0..0x03155EDB [WRITE] test dword ptr [rip + 0x687d8a2], eax
  0x031560FC  fn 0x031560A0..0x031561DB [WRITE] test dword ptr [rip + 0x687d5a2], eax
  0x0315624A  fn 0x031561E0..0x0315637F [WRITE] test dword ptr [rip + 0x687d454], eax
  0x031563EA  fn 0x03156380..0x0315651F [WRITE] test dword ptr [rip + 0x687d2b4], eax
  0x0315665C  fn 0x03156600..0x0315673B [WRITE] test dword ptr [rip + 0x687d042], eax
  0x0315679C  fn 0x03156740..0x0315687B [WRITE] test dword ptr [rip + 0x687cf02], eax
  0x031568EA  fn 0x03156880..0x031569F8 [WRITE] test dword ptr [rip + 0x687cdb4], eax
  0x03156A6A  fn 0x03156A00..0x03156B78 [WRITE] test dword ptr [rip + 0x687cc34], eax
  0x03156BCF  fn 0x03156B80..0x03156C22 [WRITE] test dword ptr [rip + 0x687cacf], eax
  0x03156C87  fn 0x03156C30..0x03156CE2 [WRITE] test dword ptr [rip + 0x687ca17], eax
  0x03156D3F  fn 0x03156CF0..0x03156D92 [WRITE] test dword ptr [rip + 0x687c95f], eax
  0x03156DFC  fn 0x03156DA0..0x03156EDB [WRITE] test dword ptr [rip + 0x687c8a2], eax
  0x03156F3C  fn 0x03156EE0..0x0315701B [WRITE] test dword ptr [rip + 0x687c762], eax
  0x031570CF  fn 0x03157075..0x03157221 [WRITE] test dword ptr [rip + 0x687c5cf], eax
  0x031575B1  fn 0x03157510..0x03157637 [WRITE] test dword ptr [rip + 0x687c0ed], eax
  0x03157C0C  fn 0x03157BB0..0x03157CEB [WRITE] test dword ptr [rip + 0x687ba92], eax
  0x03157D5A  fn 0x03157CF0..0x03157E68 [WRITE] test dword ptr [rip + 0x687b944], eax
  0x0315813C  fn 0x031580E0..0x0315821B [WRITE] test dword ptr [rip + 0x687b562], eax
  0x0315827C  fn 0x03158220..0x0315835B [WRITE] test dword ptr [rip + 0x687b422], eax
