enum,jump_index,type_name,map_slot,key_FString_Data_VA,key_FString_Num,case_body_text_RVA
1,0,connectNotif,0,0x1D24EFE9340,13,0x04B02D36
2,1,disconnectNotif,1,0x1D24EFE9360,16,0x04B02DC4
3,2,partyLeaveNotif,2,0x1D24EFE9380,16,0x04B02E09
4,3,partyInviteNotif,3,0x1D24F0B60A0,17,0x04B02EC8
5,4,partyGetInvitedNotif,4,0x1D24F0B60D0,21,0x04B02F26
6,5,partyJoinNotif,5,0x1D24EFE93A0,15,0x04B02F93
7,6,partyRejectNotif,6,0x1D24F0B6100,17,0x04B02FCB
8,7,partyKickNotif,7,0x1D24EFE93C0,15,0x04B03030
9,8,partyDataUpdateNotif,8,0x1D24F0B6130,21,0x04B03375
10,9,partyConnectNotif,10,0x1D24F0B6160,18,0x04B03393
11,10,partyDisconnectNotif,11,0x1D24F0B6190,21,0x04B033DD
12,11,partyNotif,9,0x1D24EFE93E0,11,0x04B03095
13,12,personalChatNotif,12,0x1D24F0B61C0,18,0x04B03427
14,13,partyChatNotif,13,0x1D24EFE9400,15,0x04B034B2
15,14,channelChatNotif,14,0x1D24F0B61F0,17,0x04B0351B
16,15,userStatusNotif,15,0x1D24EFE9420,16,0x04B03580
17,16,messageNotif,16,0x1D24EFE9440,13,0x04B035FD
18,17,userBannedNotification,17,0x1D24F0B6220,23,0x04B03D29
19,18,userUnbannedNotification,18,0x1D24F07F800,25,0x04B03D29
20,19,matchmakingNotif,19,0x1D24F0B6250,17,0x04B03A60
21,20,setReadyConsentNotif,20,0x1D24F0B6280,21,0x04B03A7E
22,21,setRejectConsentNotif,21,0x1D24F0B62B0,22,0x04B03AC8
23,22,rematchmakingNotif,22,0x1D24F0B62E0,19,0x04B03B12
24,23,dsNotif,23,0x1D24F130BA0,8,0x04B03B5F
25,24,acceptFriendsNotif,24,0x1D24F0B6310,19,0x04B03B7D
26,25,requestFriendsNotif,25,0x1D24F0B6340,20,0x04B03BB5
27,26,unfriendNotif,26,0x1D24EFE9460,14,0x04B03BED
28,27,cancelFriendsNotif,27,0x1D24F0B6370,19,0x04B03C25
29,28,rejectFriendsNotif,28,0x1D24F0B63A0,19,0x04B03C5D
30,29,blockPlayerNotif,29,0x1D24F0B63D0,17,0x04B03C95
31,30,unblockPlayerNotif,30,0x1D24F0B6400,19,0x04B03CDF
32,31,signalingP2PNotif,31,0x1D24F0B6430,18,0x04B04858
33,32,errorNotif,32,0x1D24EFE9480,11,0x04B04396
