rec_rva,sec,verbosity,line,file,fmt_rva,fmt,dyn_rva
0x076880A0,.rdata,Display,135,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076880C0,"This command requires two arguments, both 0 or 1 to control the use of high priority and background priority threads, respectively.",0x09D0B738
0x07688228,.rdata,Display,137,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688250,High priority task threads: %d    Background priority threads: %d,0x09D0B739
0x076888D8,.rdata,Display,2765,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688900,Currently ignoring %d threads per priority bank,0x09D0B748
0x07688AE8,.rdata,Display,2780,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688B10,Setting task thread priority to above normal.,0x09D0B749
0x07688B70,.rdata,Display,2785,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688B90,Setting task thread priority to below normal.,0x09D0B74A
0x07688BF0,.rdata,Display,2789,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07688C10,Setting task thread priority to normal.,0x09D0B74B
0x07689408,.rdata,Log,1272,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689430,Started task graph with %d named threads and %d total threads with %d sets of task threads.,0x09D0B780
0x07689590,.rdata,Fatal,1611,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076895B0,Recursive waits are not allowed in single threaded mode.,0x09D0B781
0x076896F0,.rdata,Fatal,2210,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x076895B0,Recursive waits are not allowed in single threaded mode.,0x09D0B782
0x07689840,.rdata,Warning,2571,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689860,Task graph took %6.2fms for %s to %s,0x09D0B884
0x07689A60,.rdata,Log,2692,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689A80,FTaskGraphInterface::BroadcastSlow_OnlyUseForSpecialPurposes Broadcast failed after three seconds. Ok during automated tests.,0x09D0B885
0x07689B80,.rdata,Warning,2707,C:\TheoryCraft\build-staging\Engine\Source\Runtime\Core\Private\Async\TaskGraph.cpp,0x07689BA0,Task graph took %6.2fms to wait for task thread broadcast.,0x09D0B886
