class	func	verdict	impl_rva	thunk_rva	fold_behaviour	impl_bytes16	impl_src_image	thunk_page_lit	uht_flags	is_Net	rec_rva
?	Activate	FORWARDER	0x3234454	0x326d280	mov rax,[rcx]; jmp qword [rax+disp]	488b01ffa0c00200004885c94883e910	merged4	1		0	0x9ac6558
?	AddAttachment	REAL	0x45017e0	0x44fa3d0		488b49304885c97407488b0148ff6008	merged4	1		0	0x9b09d28
?	AddColorParameterKey	REAL	0x2ec6d40	0x2f39620		48895c24104889742418555741544156	merged4	1		0	0x9a0efd8
?	AddForce	REAL	0x3317490	0x331dc90		48895c241048894c2408574883ec4048	merged4	1		0	0x9a49c58
?	AddKey	REAL	0x5d745a0	0x5d7a9a0		48895c242055574156488d6c24c14881	merged4	1		0	0x9c6c398
?	AddKey	REAL	0x5d74770	0x5d7ab10		448844241855574156488d6c24c14881	merged4	1		0	0x9c6cab8
?	AddKey	REAL	0x5d74930	0x5d7aca0		448844241855574156488d6c24c94881	merged4	1		0	0x9c6d1f8
?	AddKey	REAL	0x5d74af0	0x5d7ae70		4055574156488d6c24c94881ec900000	merged4	1		0	0x9c6e188
?	AddKey	IMPL-PAGE-DARK	0x5d7f910	0x5d87340	no image on disk has this .text page			1		0	0x9c6e8e8
?	AddKey	IMPL-PAGE-DARK	0x5d7fb00	0x5d87500	no image on disk has this .text page			1		0	0x9c6f758
?	AddKey	IMPL-PAGE-DARK	0x5d7fe20	0x5d876c0	no image on disk has this .text page			1		0	0x9c70038
?	AddKey	IMPL-PAGE-DARK	0x5d7ffe0	0x5d87840	no image on disk has this .text page			1		0	0x9c70728
?	AddKey	IMPL-PAGE-DARK	0x5d800a0	0x5d879a0	no image on disk has this .text page			1		0	0x9c70d88
?	AddScalarParameterKey	IMPL-PAGE-DARK	0x2ec8f10	0x2f39800	no image on disk has this .text page			1		0	0x9a0f020
?	AdjustVolume	REAL	0x3377dc0	0x33a66d0		488b89900300004885c974084533c9e9	merged4	1		0	0x9a61028
?	AngularDistance	REAL	0x468b5a0	0x46927f0		4883ec58f30f106204f30f1051040f28	merged4	0		0	0x9b1b078
?	AngularDistance	REAL	0x468b500	0x4692700		48895c2408574883ec60488bda488d54	merged4	0		0	0x9b1b4c8
?	AngularDistance	REAL	0x468b440	0x4692610		40534883ec40488bda0f29742430488d	merged4	0		0	0x9b1b7f8
?	AngularDistanceForNormals	REAL	0x468b720	0x46929d0		f30f1001f30f5902f30f105104f30f59	merged4	0		0	0x9b1b0c0
?	AsyncLoadGameFromSlot	REAL	0x37c5100	0x37fe580		48895c240848896c2410488974241857	merged4	1		0	0x9a8eb18
?	AsyncLoadGameFromSlot	REAL	0x469e240	0x469f9d0		48895c240848896c2410488974241857	merged4	1		0	0x9b1d488
?	AsyncSaveGameToSlot	REAL	0x37c57e0	0x37fec80		48895c240848896c2410488974241848	merged4	1		0	0x9a8eb60
?	AsyncSaveGameToSlot	REAL	0x469e2e0	0x469fb50		488bc448895808488968104889701848	merged4	1		0	0x9b1d4d0
?	BP_ShouldCreateSubsystem	REAL	0x46b6af0	0x46cd410		48895c2408574883ec30488b01488bf9	merged4	1		0	0x9b20ff8
?	BP_ShouldCreateSubsystem	REAL	0x46b6be0	0x46cd410		48895c2408574883ec30488b01488bf9	merged4	1		0	0x9b215a8
?	BeginSpawningActor	FORWARDER	0x305dc8c	0x4405d00	mov rax,[rcx]; jmp qword [rax+disp]	488b01ffa020030000415657488b01ff	merged4	1		0	0x9afa228
?	BeginSpawningActor	REAL	0x4468fd0	0x441eeb0		4c8bdc5641564881ece8000000488b05	merged4	1		0	0x9aff178
