class	func	in_setC	verdict	impl	thunk	thunk_pg	impl_pg	flags	note	bytes12
ALokiDropPlane	AddPlayerToPlane	C	EMPTY	0xf7ec20	0x2c2ce30	s129,merged2,tuthero	s129,merged2,tuthero	Final|BlueprintAuthorityOnly|Native|Public	FOLD ret0(c2 00 00)	
ALokiDropPlane	AuthLaunchDropPodForTeam	C	REAL	0x55cb1d0	0x5335b50	s129,merged2,tuthero	s129,merged2,tuthero	Final|BlueprintAuthorityOnly|Native|Public|BlueprintCallable		4883ec28e8b717dcfd4883c4
ALokiDropPlane	AuthStart	C	EMPTY	0xf7ec20	0x52fd620	s129,merged2,tuthero	s129,merged2,tuthero	Final|BlueprintAuthorityOnly|Native|Public|BlueprintCallable	FOLD ret0(c2 00 00)	
ALokiDropPlane	BP_AuthLaunchDropPodForTeam	C	NO-RECORD	-	-	-	-	Event|Public|BlueprintEvent		
ALokiDropPlane	CanJump	C	REAL	0x55cf390	0x53361f0	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Public|BlueprintCallable|BlueprintPure|Const		80b92404000000750d80b925
ALokiDropPlane	GetDropPlaneMapIcon	C	REAL	0x5333e10	0x377c3a0	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|BlueprintCallable|BlueprintEvent|BlueprintPure		48895c2410574883ec20488b
ALokiDropPlane	GetDropPosition	C	REAL	0x5333e60	0x53364f0	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintEvent|BlueprintPure|Const		48895c240848897424105748
ALokiDropPlane	GetDropZoneBorders	C	REAL	0x5333ed0	0x5336590	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintEvent|BlueprintPure		488bc4488958084889681048
ALokiDropPlane	GetPlayerDropState	C	REAL	0x55d9ac0	0x5336940	s129,merged2,tuthero	merged2	Final|Native|Public|BlueprintCallable|BlueprintPure|Const		4c8bc94c8bc249c1e8044c8b
ALokiDropPlane	HasEverContainedPlayer	C	REAL	0x55dca90	0x53369e0	s129,merged2,tuthero	s129,merged2,tuthero	Final|BlueprintAuthorityOnly|Native|Public|BlueprintCallable|BlueprintPure|Const		488b89c8030000e904000000
ALokiDropPlane	IsPlayerInPlane	C	REAL	0x55dda10	0x5336b20	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Public|BlueprintCallable|BlueprintPure|Const		4c8b81c8030000498b802001
ALokiDropPlane	IsReadyToSetDropPodDestination	C	REAL	0x5334140	0x5336bc0	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|BlueprintCallable|BlueprintEvent|BlueprintPure		48895c2410574883ec20488b
ALokiDropPlane	IsValidDropPodDestination	C	REAL	0x55ddc90	0x5336bf0	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintPure		48895c2408574883ec40488b
ALokiDropPlane	IsWithinDropPlanePath	C	REAL	0x5334190	0x5336ce0	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintEvent|BlueprintPure		488bc4488958084889701048
ALokiDropPlane	IsWithinMaxDropPodDistance	C	REAL	0x5334220	0x5336e30	s129,merged2,tuthero	s129,merged2,tuthero	Native|Event|Public|HasOutParms|HasDefaults|BlueprintCallable|BlueprintEvent|BlueprintPure		48895c2408574883ec400f10
ALokiDropPlane	OnPlayerEnteredRideable	C	REAL	0x55e0910	0x5337000	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Private		41b001e9989d00004883ec28
ALokiDropPlane	OnPlayerExitedRideable	C	REAL	0x55e0920	0x5337090	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Private		41b002e9889d00004883c428
ALokiDropPlane	OnRep_EndLocation	C	NO-RECORD	-	-	-	-	Event|Protected|BlueprintEvent		
ALokiDropPlane	OnRep_StartLocation	C	NO-RECORD	-	-	-	-	Event|Protected|BlueprintEvent		
ALokiDropPlane	OnRep_StartTime	C	REAL	0x55e0fe0	0x5337140	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Protected		c68124040000014881c19803
ALokiDropPlane	OnTeamDropped	C	NO-RECORD	-	-	-	-	Event|Public|HasDefaults|BlueprintEvent		
ALokiDropPlane	OverridePlaneLocations	C	EMPTY	0xf7ec20	0x53372a0	s129,merged2,tuthero	s129,merged2,tuthero	Final|Native|Public|HasDefaults|BlueprintCallable	FOLD ret0(c2 00 00)	
ALokiDropPlane	RemovePlayerFromPlane	C	EMPTY	0xf7ec20	0x2c2ce30	s129,merged2,tuthero	s129,merged2,tuthero	Final|BlueprintAuthorityOnly|Native|Public	FOLD ret0(c2 00 00)	
