guid	first_path	ndirs	size_bytes	streams	pid	create_time	create_iso	hdr_stamp	hdr_iso	os_build	ncpu	nmods	nthreads	nhandles	nunloaded	nmeminfo	game_base	preloader_base	runtime_in_modlist	ntdll	kernel32	kernelbase	user32	combase	advapi32	gdi32	exc_code	exc_addr	exc_nparm	exc_p0	exc_p1	rip	rip_mod	rip_rva	addr_mod	addr_rva	kill_shape	killreg_base	killreg_size	killreg_state	killreg_type	killreg_prot	killreg_aprot	killalloc_base	killalloc_nregions	killalloc_span	killalloc_exec_regions	killalloc_in_modlist
006b2788-25bc-42b0-a263-9729f87a97b1.dmp	dumps/crashpad-20260806-234816-s111pi-I5_1/reports/006b2788-25bc-42b0-a263-9729f87a97b1.dmp	2	40992800	3,4,5,6,7,12,14,15,16,24,1129316353	25156	1786078050	2026-08-06T23:47:30	1786078083	2026-08-06T23:48:03	10.0.19045	16	220	137	12572	22	29670	0x7FF6505C0000	0x7FFCFF420000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
0315cb47-de79-4396-a919-8fefe83ebebe.dmp	dumps/crashpad-20260805-235529-s111ab-A2r5/reports/0315cb47-de79-4396-a919-8fefe83ebebe.dmp	2	41497776	3,4,5,6,7,12,14,15,16,24,1129316353	6200	1785992102	2026-08-05T23:55:02	1785992127	2026-08-05T23:55:27	10.0.19045	16	220	135	14816	22	40925	0x7FF6505C0000	0x7FFD31830000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
067b456d-5692-4b8f-a9da-d90e87fa3d61.dmp	dumps/crashpad-20260808-004705-s112p2-foSTD-01/reports/067b456d-5692-4b8f-a9da-d90e87fa3d61.dmp	2	42683296	3,4,5,6,7,12,14,15,16,24,1129316353	32476	1786167663	2026-08-08T00:41:03	1786168002	2026-08-08T00:46:42	10.0.19045	16	220	129	13343	30	64658	0x7FF6505C0000	0x7FFCF98C0000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
06d4cd2c-fdce-4349-85ab-37a3b4335050.dmp	dumps/crashpad-20260805-235648-s111ab-B3r1/reports/06d4cd2c-fdce-4349-85ab-37a3b4335050.dmp	2	43861072	3,4,5,6,7,12,14,15,16,24,1129316353	49584	1785992177	2026-08-05T23:56:17	1785992206	2026-08-05T23:56:46	10.0.19045	16	220	155	14538	22	40683	0x7FF6505C0000	0x7FFD23270000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x2A36E7E205D	2	0x0	0x2A3CB780000	0x2A36E7E205D					AV+READ	0x2A36E7E0000	0x2B000	COMMIT	PRIVATE	EXECUTE_READWRITE	EXECUTE_READWRITE	0x2A36E7E0000	1	0x2B000	1	0
0ad880ed-d104-4f86-82b5-090eb4f999d0.dmp	dumps/crashpad-20260806-181710-s111bisect-E2b_1/reports/0ad880ed-d104-4f86-82b5-090eb4f999d0.dmp	2	42875328	3,4,5,6,7,12,14,15,16,24,1129316353	56868	1786058195	2026-08-06T18:16:35	1786058216	2026-08-06T18:16:56	10.0.19045	16	210	158	10290	22	25298	0x7FF6505C0000	0x7FFD23230000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
103a144b-fef5-434e-b156-f5119b331f6f.dmp	dumps/crashpad-20260807-163934-s112c-trt-09/reports/103a144b-fef5-434e-b156-f5119b331f6f.dmp	2	43725216	3,4,5,6,7,12,14,15,16,24,1129316353	31204	1786138598	2026-08-07T16:36:38	1786138751	2026-08-07T16:39:11	10.0.19045	16	220	141	14402	22	42313	0x7FF6505C0000	0x7FFD31820000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
105ad569-268e-4bd1-9d7f-2ed600330620.dmp	dumps/crashpad-20260806-001132-s111ab-B4r4/reports/105ad569-268e-4bd1-9d7f-2ed600330620.dmp	2	43448736	3,4,5,6,7,12,14,15,16,24,1129316353	52308	1785993071	2026-08-06T00:11:11	1785993088	2026-08-06T00:11:28	10.0.19045	16	220	160	12914	22	31385	0x7FF6505C0000	0x7FFD31830000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x1747765205D	2	0x0	0x174C7920000	0x1747765205D					AV+READ	0x17477650000	0x2B000	COMMIT	PRIVATE	EXECUTE_READWRITE	EXECUTE_READWRITE	0x17477650000	1	0x2B000	1	0
112e217d-9ad1-4aaa-96a4-0989b941e169.dmp	dumps/crashpad-20260806-141416-s111ab-C4r4/reports/112e217d-9ad1-4aaa-96a4-0989b941e169.dmp	2	43640416	3,4,5,6,7,12,14,15,16,24,1129316353	29140	1786043586	2026-08-06T14:13:06	1786043643	2026-08-06T14:14:03	10.0.19045	16	221	146	12837	22	41237	0x7FF6505C0000	0x7FFD31850000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
1347b501-6e7b-477e-a329-65c2c237a916.dmp	dumps/crashpad-20260807-155449-s112-trt-02/reports/1347b501-6e7b-477e-a329-65c2c237a916.dmp	2	43566768	3,4,5,6,7,12,14,15,16,24,1129316353	40156	1786135906	2026-08-07T15:51:46	1786136043	2026-08-07T15:54:03	10.0.19045	16	220	138	15179	22	41299	0x7FF6505C0000	0x7FFCF9C00000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
146e6556-53e5-4829-b367-d6ebbecc2998.dmp	dumps/crashpad-20260807-162141-s112c-ctl-05/reports/146e6556-53e5-4829-b367-d6ebbecc2998.dmp	2	43698432	3,4,5,6,7,12,14,15,16,24,1129316353	57780	1786137518	2026-08-07T16:18:38	1786137660	2026-08-07T16:21:00	10.0.19045	16	220	142	14679	22	41416	0x7FF6505C0000	0x7FFD329D0000	0	0x7FFD3B150000	0x7FFD3A990000	0x7FFD38C80000	0x7FFD39160000	0x7FFD39920000	0x7FFD3ADF0000	0x7FFD3A8D0000	0xC0000005	0x7FFD3B400001	2	0x8	0x7FFD3B400001	0x7FFD3B400001					AV+EXEC+PLUS1	0x7FFD3B400000	0x7000	COMMIT	IMAGE	READONLY	EXECUTE_WRITECOPY	0x7FFD3B400000	15	0x4066000	4	0
