# .text pages decrypted in at least one crashpad report but ALL-ZERO in dumps/merged6.dump.exe
# unit: 4 KiB pages.  RVA = page index*0x1000 + 0x1000
# count: 41
# contiguous runs: 29
0x00BD4000-0x00BD4FFF  1 pages
0x00BE4000-0x00BE4FFF  1 pages
0x00BE6000-0x00BE7FFF  2 pages
0x00BEA000-0x00BECFFF  3 pages
0x013C7000-0x013C7FFF  1 pages
0x013EF000-0x013EFFFF  1 pages
0x013F1000-0x013F1FFF  1 pages
0x013F3000-0x013F4FFF  2 pages
0x013F6000-0x013F9FFF  4 pages
0x01459000-0x0145BFFF  3 pages
0x01486000-0x01486FFF  1 pages
0x01581000-0x01582FFF  2 pages
0x0162D000-0x0162DFFF  1 pages
0x01650000-0x01651FFF  2 pages
0x016DF000-0x016DFFFF  1 pages
0x016E9000-0x016E9FFF  1 pages
0x01B16000-0x01B16FFF  1 pages
0x035A5000-0x035A5FFF  1 pages
0x035E5000-0x035E5FFF  1 pages
0x035FD000-0x035FDFFF  1 pages
0x03706000-0x03706FFF  1 pages
0x03908000-0x03908FFF  1 pages
0x04024000-0x04024FFF  1 pages
0x052FE000-0x052FEFFF  1 pages
0x0575A000-0x0575AFFF  1 pages
0x059B3000-0x059B3FFF  1 pages
0x05A3A000-0x05A3BFFF  2 pages
0x06AC0000-0x06AC0FFF  1 pages
0x06AC4000-0x06AC4FFF  1 pages
