path,dir,va,declsize,filesize,sha256,mz,pe,allzero,nonzero,entropy,head16,insns,cov,invalid
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A207CF0000_2B000.bin,accountpass,0x1a207cf0000,0x2b000,176128,f99926ef91e8168d8bab3386f59a2a1de085ad6f2a6e3c2930746768bdad93dc,1,1,0,110719,6.2184,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A207D20000_1000.bin,accountpass,0x1a207d20000,0x1000,4096,04c913e5787fd23480a702e3f253cc703b58ced11e9e44ff867d918d4974bd02,0,0,0,68,0.1955,48b90080d107a201000048ba86010000,2012,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A2318F0000_1000.bin,accountpass,0x1a2318f0000,0x1000,4096,a93333cc5841fa521a358350665468ec7b692dd532f377c2d7a87952b8050702,0,0,0,107,0.2872,4883ec4848894c242048895424284c89,2013,4095,1
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A2C24F0000_10000.bin,accountpass,0x1a2c24f0000,0x10000,65536,cbeff2e17db5cff6fc9fdc3b51d09f01f84196ac34b9e8630fb49dc48110eecf,0,0,0,28560,3.7547,947b26f6557e00003600000000000000,972,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A2C5700000_10000.bin,accountpass,0x1a2c5700000,0x10000,65536,2a33684cd40c5196212b825b0a6a32dae4bbf9c317442029afe738688d0666f3,0,0,0,22809,3.1618,00000000000000000000000000000000,2048,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A2E1750000_1000.bin,accountpass,0x1a2e1750000,0x1000,4096,61ccba299f27e54a51c7f0175d5d2ef109c01afea752ce9a85703011a3a2c501,0,0,0,68,0.1941,48b900109de1a201000048bab9010000,2012,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A2E1900000_D4000.bin,accountpass,0x1a2e1900000,0xd4000,868352,1a0637ecb58f30906ad5c09970c8b2988517ae2c481fe9aac79bb8e2e8610ff2,1,1,0,208140,6.2412,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A376220000_1000.bin,accountpass,0x1a376220000,0x1000,4096,9cd0eb393c67fdc54f96f066a81bfc53ac2480a7dafbdf341e972155fa7d11ab,0,0,0,68,0.1947,48b900b02876a301000048ba91010000,2012,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A376260000_2E000.bin,accountpass,0x1a376260000,0x2e000,188416,9cd289422a484a66fca4a91a93202a684bfd6e85d96fe016ef44863d91086073,1,1,0,122254,6.2140,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A38BDF0000_1000.bin,accountpass,0x1a38bdf0000,0x1000,4096,8d880258eb5fd456c839ad8d15245c96bb290ee226d065357ea70ce5b76ae5fa,0,0,0,68,0.1944,48b900805791a301000048baba010000,2012,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A3914F0000_8B000.bin,accountpass,0x1a3914f0000,0x8b000,569344,3886985237a144b6da1cc08db1e0152e0c75fda8f844c6fcd98e9d37c44adeee,1,1,0,151232,6.1057,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A3D08B0000_26000.bin,accountpass,0x1a3d08b0000,0x26000,155648,70ab9b52ddcde5e6e62c10cf72166f53ad2574fa5f383029979ec9e40ca32a02,1,1,0,105662,6.2553,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x1A3D0AA0000_1000.bin,accountpass,0x1a3d0aa0000,0x1000,4096,fb0aec10e6c13c1dce9b9ea0642da8c3bd134c4cd4d6a5c9e3680a24edbeef0d,0,0,0,68,0.1942,48b900308dd0a301000048ba81010000,2012,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF6AEFD0000_1000.bin,accountpass,0x7ff6aefd0000,0x1000,4096,27c2def6753d76eb83c251c275e37c3fcd8bd5e9229e24b13fdad5d96934992a,0,0,0,47,0.1459,48895c2408e99b543701000000000000,2037,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF6AEFE0000_1000.bin,accountpass,0x7ff6aefe0000,0x1000,4096,233ab0317a9884f92f2d3e7e04e9dee2a5ed7bae5918b8f8fad322904e17dc56,0,0,0,47,0.1459,48895c2408e99b543601000000000000,2037,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF6AEFF0000_1000.bin,accountpass,0x7ff6aeff0000,0x1000,4096,57627d724b74e5999a2db7e36290a2ccc771c784152add12ad6accd86372b41f,0,0,0,47,0.1453,48895c2408e99b543501000000000000,2037,4096,0
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF909BD0000_10000.bin,accountpass,0x7ff909bd0000,0x10000,65536,e63c4cc034331299324a3baa56e83dd3eea51dc3a2735cb8500c1c601a891bc8,0,0,0,467,0.1025,4883ec48498bc1e99b100100ff250000,5,20,4076
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF90B830000_8000.bin,accountpass,0x7ff90b830000,0x8000,32768,3fe2ed7f9d2bdc68421b6201e101bd07f19586af5729ce5a18bd6d841ed3f24c,0,0,0,1213,0.4511,40555357488bece90bda1e00ff250000,113,275,3821
../../../dumps\accountpass\SUPERVIVE-Win64-Shipping.exec_0x7FF90DEA0000_D000.bin,accountpass,0x7ff90dea0000,0xd000,53248,3233984729dca8191efead8b2b2119583bb05dd690bc41ef602efb6b9a494544,0,0,0,39573,5.6918,d14433c0458b4a0cc1c20b4423c24489,1269,4094,2
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D293D40000_1000.bin,claimflow-AFTER,0x1d293d40000,0x1000,4096,dd499d7487bffc5ccedeee1e6c2a739e70484740a2bf7a855ab01770a3ce3f27,0,0,0,107,0.2860,4883ec4848894c242048895424284c89,2013,4095,1
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D2E50D0000_1000.bin,claimflow-AFTER,0x1d2e50d0000,0x1000,4096,0b06536dba1c3621dc0a29c204ce24caa3b83091d0583c05a27c5c1150a3cfb0,0,0,0,68,0.1949,48b9007049e7d201000048ba87010000,2012,4096,0
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D2E7430000_6A000.bin,claimflow-AFTER,0x1d2e7430000,0x6a000,434176,48efa0229512fe7cb77d5224779adac30fcb5dd77e354b3d269f37fe92a67e43,1,1,0,223160,6.2235,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D2EC050000_2E000.bin,claimflow-AFTER,0x1d2ec050000,0x2e000,188416,e4e7903a2d05b23f3cb3c26bbf58c3dcb9ff1a90dc30404d981feda2310a96b6,1,1,0,119091,6.2140,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D2EC080000_1000.bin,claimflow-AFTER,0x1d2ec080000,0x1000,4096,d5c1c85e06a7305058e7a04292837c8a419237c8b1675df5f22bdd6d0b5643d7,0,0,0,68,0.1942,48b900b007ecd201000048ba91010000,2012,4096,0
../../../dumps\claimflow-AFTER\SUPERVIVE-Win64-Shipping.exec_0x1D2F75C0000_10000.bin,claimflow-AFTER,0x1d2f75c0000,0x10000,65536,526d4c1c952c81a2c560a82186f45f884260df6096d0824a82f00541d0a5e5ce,0,0,0,28560,3.7550,00000000000000000000000000000000,2048,4096,0
