path,file_size,streams,nmodules,game_base,game_size,nthreads,n_mem,n_mem64,n_ranges,bytes_captured,bytes_in_stacks,bytes_in_image,ranges_in_image,n_meminfo,meminfo_bytes,residual,max_range_end_rva,C1,C2,C4
dumps\crashpad-20260804-151455-s109-positive-control\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,43804912,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6eaa10000,0xa9e1000,136,723,0,723,40902594,40009728,0,0,44804,2150608,2902318,43804912,1,1,1
dumps\crashpad-20260804-163837\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,43804912,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6eaa10000,0xa9e1000,136,723,0,723,40902594,40009728,0,0,44804,2150608,2902318,43804912,1,1,1
dumps\crashpad-20260804-163838-postexit\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,43804912,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6eaa10000,0xa9e1000,136,723,0,723,40902594,40009728,0,0,44804,2150608,2902318,43804912,1,1,1
dumps\crashpad-20260804-181909-shimrun2-DEATH\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,5420624,3 4 5 6 7 12 14 15 16 24 1129316353,185,0x7ff6a6ef0000,0xa9e1000,127,633,0,633,4350556,3526656,0,0,14929,716608,1070068,5420624,1,1,1
dumps\crashpad-20260804-181915\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,5420624,3 4 5 6 7 12 14 15 16 24 1129316353,185,0x7ff6a6ef0000,0xa9e1000,127,633,0,633,4350556,3526656,0,0,14929,716608,1070068,5420624,1,1,1
dumps\crashpad-20260804-182004-shimrun3-DEATH\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,5420624,3 4 5 6 7 12 14 15 16 24 1129316353,185,0x7ff6a6ef0000,0xa9e1000,127,633,0,633,4350556,3526656,0,0,14929,716608,1070068,5420624,1,1,1
dumps\crashpad-20260804-182004-shimrun3-DEATH\reports\590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,43740912,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6a6ef0000,0xa9e1000,151,751,0,751,41074680,40091648,0,0,40680,1952656,2666232,43740912,1,1,1
dumps\crashpad-20260804-185216\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,5420624,3 4 5 6 7 12 14 15 16 24 1129316353,185,0x7ff6a6ef0000,0xa9e1000,127,633,0,633,4350556,3526656,0,0,14929,716608,1070068,5420624,1,1,1
dumps\crashpad-20260804-185216\reports\590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,43740912,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6a6ef0000,0xa9e1000,151,751,0,751,41074680,40091648,0,0,40680,1952656,2666232,43740912,1,1,1
dumps\crashpad-20260804-210459-pi1run3-DEATH\reports\673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,43385024,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff7e3cb0000,0xa9e1000,153,755,0,755,41127688,40132608,0,0,31370,1505776,2257336,43385024,1,1,1
