path,guid,game_base,text_pages_mapped,text_pages_decrypted,rdata_pages_readable
../../../dumps\crashpad-20260804-151455-s109-positive-control\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,0x7ff6eaa10000,30281,16130,9085
../../../dumps\crashpad-20260804-163837\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,0x7ff6eaa10000,30281,16130,9085
../../../dumps\crashpad-20260804-163838-postexit\reports\41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,41cdafa3-ceff-4d83-8d11-69fa9b75b54a.dmp,0x7ff6eaa10000,30281,16130,9085
../../../dumps\crashpad-20260804-181909-shimrun2-DEATH\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,0x7ff6a6ef0000,30281,9764,9085
../../../dumps\crashpad-20260804-181915\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,0x7ff6a6ef0000,30281,9764,9085
../../../dumps\crashpad-20260804-182004-shimrun3-DEATH\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,0x7ff6a6ef0000,30281,9764,9085
../../../dumps\crashpad-20260804-182004-shimrun3-DEATH\reports\590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,0x7ff6a6ef0000,30281,14823,9085
../../../dumps\crashpad-20260804-185216\reports\3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,3e17e732-dd9f-4174-a291-66e9c3f036fc.dmp,0x7ff6a6ef0000,30281,9764,9085
../../../dumps\crashpad-20260804-185216\reports\590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,590cfd83-b140-479b-8bbb-6b77c1cf7efb.dmp,0x7ff6a6ef0000,30281,14823,9085
../../../dumps\crashpad-20260804-210459-pi1run3-DEATH\reports\673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,0x7ff7e3cb0000,30281,13871,9085
../../../dumps\crashpad-20260804-211019\reports\673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,673de738-afc8-49e1-99d0-7ce0bda6f536.dmp,0x7ff7e3cb0000,30281,13871,9085
../../../dumps\crashpad-20260804-230329-sub-NoMissions-1-DEATH\reports\e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,0x7ff7e3cb0000,30281,13871,9085
../../../dumps\crashpad-20260804-230334\reports\e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,e7d14df5-ddfb-4f74-902c-29acae9bb0ab.dmp,0x7ff7e3cb0000,30281,13871,9085
../../../dumps\crashpad-20260804-230408-sub-NoMissions-2-DEATH\reports\5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,0x7ff7e3cb0000,30281,14048,9085
../../../dumps\crashpad-20260804-230413\reports\5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,5e4cce11-0836-4b55-96ed-a5aef4d21aae.dmp,0x7ff7e3cb0000,30281,14048,9085
../../../dumps\crashpad-20260804-230452-sub-NoMissions-3-DEATH\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,0x7ff7e3cb0000,30281,12255,9085
../../../dumps\crashpad-20260804-230458\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,0x7ff7e3cb0000,30281,12255,9085
../../../dumps\crashpad-20260804-231015\reports\d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,d9a2e984-8d4e-46f1-9177-90a668fa926e.dmp,0x7ff7e3cb0000,30281,12255,9085
../../../dumps\crashpad-20260804-231115-sub-NoPasses-2-DEATH\reports\2b109408-47f6-4626-8f10-dea53209e8dd.dmp,2b109408-47f6-4626-8f10-dea53209e8dd.dmp,0x7ff7e3cb0000,30281,15329,9085
../../../dumps\crashpad-20260804-231120\reports\2b109408-47f6-4626-8f10-dea53209e8dd.dmp,2b109408-47f6-4626-8f10-dea53209e8dd.dmp,0x7ff7e3cb0000,30281,15329,9085
