class,name,thunk_rva,verdict,note
USharedImageConstRefBlueprintFns,GetHeight,0x150D4B0,REAL,impl 0x150D4B0: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,GetPixelLinearColor,0x150D5A0,REAL,impl 0x150D5A0: 48895c24085556574154415541564157
USharedImageConstRefBlueprintFns,GetPixelValue,0x150D830,REAL,impl 0x150D830: 48895c24085556574883ec5033ff498b
USharedImageConstRefBlueprintFns,GetSize,0x150D9F0,REAL,impl 0x150D9F0: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,GetWidth,0x150DB10,REAL,impl 0x150DB10: 48895c24084889742418574883ec3033
USharedImageConstRefBlueprintFns,IsValid,0x150DC00,REAL,impl 0x150DC00: 48895c24084889742418574883ec3033
UGameMapsSettings,GetGameMapsSettings,0x1768900,REAL,impl 0x1768900: 48895c2408574883ec20488b422033c9
UGameMapsSettings,GetSkipAssigningGamepadToPlayer1,0x1768970,REAL,impl 0x1768970: 488b42204533c94885c0410f95c14c03
UGameMapsSettings,SetSkipAssigningGamepadToPlayer1,0x1768990,REAL,impl 0x1768990: 48895c24104889742418574883ec2033
UMeshDescriptionBase,ComputePolygonTriangulation,0x1F12FB0,REAL,tail-call target 0x1F130E0 on dark page 0x1F13000; wrapper's own prologue looked real
UMeshDescriptionBase,CreateEdge,0x1F130B0,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateEdgeWithID,0x1F13280,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygon,0x1F134E0,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonGroup,0x1F13710,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonGroupWithID,0x1F13750,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreatePolygonWithID,0x1F13850,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateTriangle,0x1F13AF0,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateTriangleWithID,0x1F13D20,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateVertex,0x1F13FC0,DARK,page 0x1F13000 all-zero
UMeshDescriptionBase,CreateVertexInstance,0x1F14000,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,CreateVertexInstanceWithID,0x1F14160,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,CreateVertexWithID,0x1F14350,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteEdge,0x1F14450,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeletePolygon,0x1F145C0,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeletePolygonGroup,0x1F147F0,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteTriangle,0x1F148F0,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteVertex,0x1F14B20,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,DeleteVertexInstance,0x1F14C20,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,Empty,0x1F14D90,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeConnectedPolygons,0x1F14DB0,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeConnectedTriangles,0x1F14F20,DARK,page 0x1F14000 all-zero
UMeshDescriptionBase,GetEdgeCount,0x1F15140,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetEdgeVertex,0x1F15180,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetEdgeVertices,0x1F15370,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumEdgeConnectedPolygons,0x1F15570,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumEdgeConnectedTriangles,0x1F156C0,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumPolygonGroupPolygons,0x1F15810,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumPolygonInternalEdges,0x1F15960,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumPolygonTriangles,0x1F15AC0,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumPolygonVertices,0x1F15C10,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumVertexConnectedEdges,0x1F15D20,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumVertexConnectedPolygons,0x1F15E70,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumVertexConnectedTriangles,0x1F15FC0,DARK,page 0x1F15000 all-zero
UMeshDescriptionBase,GetNumVertexInstanceConnectedPolygons,0x1F160D0,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetNumVertexInstanceConnectedTriangles,0x1F16220,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetNumVertexVertexInstances,0x1F16370,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonAdjacentPolygons,0x1F164C0,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonCount,0x1F167B0,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonGroupCount,0x1F167F0,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonGroupPolygons,0x1F16830,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonInternalEdges,0x1F16A50,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonPerimeterEdges,0x1F16BC0,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonPolygonGroup,0x1F16D30,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonTriangles,0x1F16E60,DARK,page 0x1F16000 all-zero
UMeshDescriptionBase,GetPolygonVertexInstances,0x1F17080,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetPolygonVertices,0x1F17250,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleAdjacentTriangles,0x1F173C0,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleCount,0x1F17530,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleEdges,0x1F17570,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTrianglePolygon,0x1F177B0,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTrianglePolygonGroup,0x1F178E0,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleVertexInstance,0x1F17A10,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleVertexInstances,0x1F17C00,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetTriangleVertices,0x1F17E00,DARK,page 0x1F17000 all-zero
UMeshDescriptionBase,GetVertexAdjacentVertices,0x1F18040,DARK,page 0x1F18000 all-zero
UMeshDescriptionBase,GetVertexConnectedEdges,0x1F181B0,DARK,page 0x1F18000 all-zero
UMeshDescriptionBase,GetVertexConnectedPolygons,0x1F183D0,DARK,page 0x1F18000 all-zero
UMeshDescriptionBase,GetVertexConnectedTriangles,0x1F18540,DARK,page 0x1F18000 all-zero
UMeshDescriptionBase,GetVertexCount,0x1F186B0,DARK,page 0x1F18000 all-zero
