class,name,thunk_rva,verdict,new_vs_v1,note
UTypedElementHierarchyInterface,GetParentElement,0x1F7DEC0,REAL,no,impl 0x1F7DEC0: 4883ec28488b05c503ef074885c07522
ALandscapeProxy,SetVirtualTextureRenderPassType,0x2BD05B0,REAL,YES,impl 0x2BCCF00: 4c8bdc4883ec78488b0572c238074885
UMovieSceneSubSection,SetSequence,0x2D38010,REAL,no,impl 0x2D38010: 4883ec28488b05c5d422074885c07522
UMovieSceneSequencePlayer,StopAtCurrentTime,0x2C94520,REAL,no,impl 0x2C84200: 4c8bdc4883ec78488b05ba032e074885
UUniformInteger,SetUniformInteger,0x2D7B370,REAL,no,impl 0x2D7B370: 4883ec28488b0585ae1e074885c0751a
UGeometryCollection,SetEnableNanite,0x32D9980,REAL,no,impl 0x32D5C10: 4c8bdc4883ec78488b054a23ca064885
AGeometryCollectionActor,RaycastSingle,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UGeometryCollectionComponent,SetUseStaticMeshCollisionForTraces,0x2D8A3A0,REAL,no,impl 0x2D8A3A0: 4c8bdc4883ec78488b059ac61d074885
USequencerAnimationOverride,GetSequencerAnimSlotNames,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UMovieSceneComponentMaterialParameterSection,RemoveScalarParameter,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneAudioSection,SetSuppressSubtitles,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneCinematicShotSection,SetShotDisplayName,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UMovieSceneCameraCutSection,SetCameraBindingID,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneCVarSection,SetFromString,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneLevelVisibilitySection,SetVisibility,0x2CE0620,REAL,no,impl 0x2C97D40: 4c8bdc4883ec78488b0562cc2c074885
UMovieSceneAsyncAction_SequencePrediction,PredictWorldTransformAtTime,0x2C95720,REAL,no,impl 0x2C95720: 4883ec28488b05edf22c074885c0751a
UBackgroundBlurSlot,SetVerticalAlignment,0x3044860,REAL,no,impl 0x3044860: 4c8bdc4883ec78488b054a6bf2064885
UComboBoxKey,SetSelectedOption,0x30BF0C0,REAL,no,impl 0x30BF0C0: 4883ec28488b052dfcea064885c0751a
UBoolBinding,GetValue,0x11A7700,REAL,no,impl 0x11A7700: 40534883ec20488d05db3b5406488bd9
UUserListEntryLibrary,IsListItemSelected,0x11A53F0,REAL,no,impl 0x11A53F0: 4883ec28488b055d7bc5084885c0751a
