t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,AccX,AccY,AccZ,CIV1x,CIV1y,CIV1z,CIV2x,CIV2y,CIV2z,CIV3x,CIV3y,CIV3z,CIVmaxMag2D,Mode,GravScale,AnalogMod,AirCtl,AirCtlBoost,AirCtlThr,FallLatFr
0.000,1788986287.333,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.141,1788986287.474,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.257,1788986287.590,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.403,1788986287.736,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.506,1788986287.839,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.623,1788986287.957,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.726,1788986288.059,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.841,1788986288.174,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
0.943,1788986288.277,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.046,1788986288.379,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.157,1788986288.490,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.259,1788986288.592,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.361,1788986288.694,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.464,1788986288.797,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.590,1788986288.923,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.692,1788986289.026,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.815,1788986289.148,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
1.918,1788986289.251,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.032,1788986289.365,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.134,1788986289.467,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.248,1788986289.581,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.350,1788986289.683,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.464,1788986289.798,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.567,1788986289.901,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
2.670,1788986290.004,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
