t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,Vel2D,AccX,AccY,AccZ,Acc2D,CIVmaxMag2D,Mode,GravScale,AnalogMod,TSFS,Gate,Living,F08,RandX,RandY
189.455,1788986933.701,2166.172,-825.081,-204.670,268.600,-137.945,-931.006,301.952,44477.302,-22842.277,0.000,50000.0,1.0000,3,1.0000,1.0000,0.6333,1,1,0x200265E1710,-0.255,0.967
189.595,1788986933.841,2200.244,-842.580,-341.872,242.886,-124.739,-1127.007,273.045,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,0.8000,1,1,0x200265E1710,-0.255,0.967
189.711,1788986933.957,2231.055,-858.403,-500.878,219.634,-112.798,-1179.903,246.905,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,0.9000,1,1,0x200265E1710,-0.255,0.967
189.820,1788986934.065,2252.211,-869.268,-620.964,203.667,-104.598,-1168.717,228.957,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.0000,1,1,0x200265E1710,-0.255,0.967
189.928,1788986934.174,2271.829,-879.344,-739.853,188.862,-96.994,-1155.196,212.312,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.1333,1,1,0x200265E1710,-0.255,0.967
190.031,1788986934.276,2295.787,-891.648,-896.112,170.781,-87.708,-1133.701,191.987,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.2333,1,1,0x200265E1710,-0.255,0.967
190.153,1788986934.399,2312.237,-900.096,-1011.329,158.366,-81.332,-1115.133,178.030,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.3333,1,1,0x200265E1710,-0.255,0.967
190.256,1788986934.501,2327.506,-907.938,-1124.735,146.843,-75.414,-1094.592,165.076,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.4334,1,1,0x200265E1710,-0.255,0.967
190.370,1788986934.616,2346.134,-917.504,-1272.473,132.785,-68.195,-1064.448,149.273,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.5668,1,1,0x200265E1710,-0.255,0.967
190.473,1788986934.719,2358.936,-924.080,-1380.672,123.123,-63.232,-1040.091,138.411,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.6669,1,1,0x200265E1710,-0.255,0.967
190.576,1788986934.822,2370.796,-930.170,-1486.324,114.173,-58.636,-1016.147,128.349,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.7669,1,1,0x200265E1710,-0.255,0.967
190.695,1788986934.941,2381.794,-935.819,-1589.642,105.873,-54.373,-1000.000,119.019,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,1.9002,1,1,0x200265E1710,-0.255,0.967
190.798,1788986935.045,2391.992,-941.056,-1692.093,98.176,-50.421,-1000.000,110.367,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.0002,1,1,0x200265E1710,-0.255,0.967
190.911,1788986935.157,2404.446,-947.452,-1828.695,88.777,-45.594,-1000.000,99.801,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.1002,1,1,0x200265E1710,-0.255,0.967
191.014,1788986935.259,2412.997,-951.844,-1931.145,82.324,-42.279,-1000.000,92.546,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.2002,1,1,0x200265E1710,-0.255,0.967
191.116,1788986935.362,2420.927,-955.916,-2033.596,76.339,-39.206,-1000.000,85.818,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.3002,1,1,0x200265E1710,-0.255,0.967
191.244,1788986935.491,2430.611,-960.890,-2170.197,69.031,-35.452,-1000.000,77.603,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.4335,1,1,0x200265E1710,-0.255,0.967
191.348,1788986935.594,2437.261,-964.305,-2272.662,64.012,-32.875,-1000.000,71.960,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.5336,1,1,0x200265E1710,-0.255,0.967
191.461,1788986935.707,2443.427,-967.472,-2375.113,59.359,-30.485,-1000.000,66.729,-12762.205,48343.832,0.000,50000.0,1.0000,3,1.0000,1.0000,2.6669,1,1,0x200265E1710,-0.991,0.133
