owner_kind,owner_index,owner_type,owner_unreal_path,member_kind,member_index,declaration,unreal_name,as_class_name,script_name,static_in_unreal,static_in_script,global_scope,not_as_property,trivial,world_context_arg,determines_output_arg,can_write,can_read,can_edit,gen_getter,gen_setter,gen_name,gen_handle,gen_unresolved_object,file_offset
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,0,TArray<FName> PackageNames,PackageNames,,,,,,,,,,0,0,0,0,0,,0,0,0x37
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,1,TArray<FName> PackagePaths,PackagePaths,,,,,,,,,,0,0,0,0,0,,0,0,0x87
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,2,TArray<FSoftObjectPath> SoftObjectPaths,SoftObjectPaths,,,,,,,,,,0,0,0,0,0,,0,0,0xd7
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,3,TArray<FName> ClassNames,ClassNames,,,,,,,,,,0,0,0,0,0,,0,0,0x137
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,4,TArray<FTopLevelAssetPath> ClassPaths,ClassPaths,,,,,,,,,,0,0,0,0,0,,0,0,0x183
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,5,TSet<FName> RecursiveClassesExclusionSet,RecursiveClassesExclusionSet,,,,,,,,,,0,0,0,0,0,,0,0,0x1dc
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,6,TSet<FTopLevelAssetPath> RecursiveClassPathsExclusionSet,RecursiveClassPathsExclusionSet,,,,,,,,,,0,0,0,0,0,,0,0,0x24a
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,7,bool bRecursivePaths,bRecursivePaths,,,,,,,,,,0,0,0,0,0,,0,0,0x2cb
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,8,bool bRecursiveClasses,bRecursiveClasses,,,,,,,,,,0,0,0,0,0,,0,0,0x318
struct,0,FARFilter,/Script/CoreUObject.ARFilter,property,9,bool bIncludeOnlyOnDiskAssets,bIncludeOnlyOnDiskAssets,,,,,,,,,,0,0,0,0,0,,0,0,0x369
struct,1,FTopLevelAssetPath,/Script/CoreUObject.TopLevelAssetPath,property,0,FName PackageName,PackageName,,,,,,,,,,0,0,0,0,0,,0,0,0x40d
struct,1,FTopLevelAssetPath,/Script/CoreUObject.TopLevelAssetPath,property,1,FName AssetName,AssetName,,,,,,,,,,0,0,0,0,0,,0,0,0x453
struct,3,FAssetData,/Script/CoreUObject.AssetData,property,0,FName PackageName,PackageName,,,,,,,,,,0,0,0,0,0,,0,0,0x509
struct,3,FAssetData,/Script/CoreUObject.AssetData,property,1,FName PackagePath,PackagePath,,,,,,,,,,0,0,0,0,0,,0,0,0x54f
struct,3,FAssetData,/Script/CoreUObject.AssetData,property,2,FName AssetName,AssetName,,,,,,,,,,0,0,0,0,0,,0,0,0x595
struct,3,FAssetData,/Script/CoreUObject.AssetData,property,3,FName AssetClass,AssetClass,,,,,,,,,,0,0,0,0,0,,0,0,0x5d7
struct,3,FAssetData,/Script/CoreUObject.AssetData,property,4,FTopLevelAssetPath AssetClassPath,AssetClassPath,,,,,,,,,,0,0,0,0,0,,0,0,0x61b
struct,4,FGuid,/Script/CoreUObject.Guid,property,0,int A,A,,,,,,,,,,0,0,0,0,0,,0,0,0x69f
struct,4,FGuid,/Script/CoreUObject.Guid,property,1,int B,B,,,,,,,,,,0,0,0,0,0,,0,0,0x6cf
struct,4,FGuid,/Script/CoreUObject.Guid,property,2,int C,C,,,,,,,,,,0,0,0,0,0,,0,0,0x6ff
struct,4,FGuid,/Script/CoreUObject.Guid,property,3,int D,D,,,,,,,,,,0,0,0,0,0,,0,0,0x72f
struct,6,FBox2D,/Script/CoreUObject.Box2D,property,0,FVector2D Min,Min,,,,,,,,,,0,0,0,0,0,,0,0,0x7bf
struct,6,FBox2D,/Script/CoreUObject.Box2D,property,1,FVector2D Max,Max,,,,,,,,,,0,0,0,0,0,,0,0,0x7f9
struct,6,FBox2D,/Script/CoreUObject.Box2D,property,2,bool bIsValid,bIsValid,,,,,,,,,,0,0,0,0,0,,0,0,0x833
struct,7,FBox2f,/Script/CoreUObject.Box2f,property,0,FVector2f Min,Min,,,,,,,,,,0,0,0,0,0,,0,0,0x89f
struct,7,FBox2f,/Script/CoreUObject.Box2f,property,1,FVector2f Max,Max,,,,,,,,,,0,0,0,0,0,,0,0,0x8d9
struct,7,FBox2f,/Script/CoreUObject.Box2f,property,2,bool bIsValid,bIsValid,,,,,,,,,,0,0,0,0,0,,0,0,0x913
struct,8,FBox3d,/Script/CoreUObject.Box3d,property,0,FVector3d Min,Min,,,,,,,,,,0,0,0,0,0,,0,0,0x97f
struct,8,FBox3d,/Script/CoreUObject.Box3d,property,1,FVector3d Max,Max,,,,,,,,,,0,0,0,0,0,,0,0,0x9b9
