kind,index,type_name,unreal_path,module,num_methods,num_properties,file_offset
struct,0,FARFilter,/Script/CoreUObject.ARFilter,CoreUObject,0,10,0x4
struct,1,FTopLevelAssetPath,/Script/CoreUObject.TopLevelAssetPath,CoreUObject,0,2,0x3c8
struct,2,FSoftObjectPath,/Script/CoreUObject.SoftObjectPath,CoreUObject,0,0,0x495
struct,3,FAssetData,/Script/CoreUObject.AssetData,CoreUObject,0,5,0x4d4
struct,4,FGuid,/Script/CoreUObject.Guid,CoreUObject,0,4,0x674
struct,5,FDateTime,/Script/CoreUObject.DateTime,CoreUObject,0,0,0x75f
struct,6,FBox2D,/Script/CoreUObject.Box2D,CoreUObject,0,3,0x792
struct,7,FBox2f,/Script/CoreUObject.Box2f,CoreUObject,0,3,0x872
struct,8,FBox3d,/Script/CoreUObject.Box3d,CoreUObject,0,3,0x952
struct,9,FVector3d,/Script/CoreUObject.Vector3d,CoreUObject,0,3,0xa30
struct,10,FBoxSphereBounds3d,/Script/CoreUObject.BoxSphereBounds3d,CoreUObject,0,3,0xaff
struct,11,FColor,/Script/CoreUObject.Color,CoreUObject,0,4,0xc14
struct,12,FDirectoryPath,/Script/CoreUObject.DirectoryPath,CoreUObject,0,1,0xd09
struct,13,FDoubleRange,/Script/CoreUObject.DoubleRange,CoreUObject,0,2,0xd80
struct,14,FDoubleRangeBound,/Script/CoreUObject.DoubleRangeBound,CoreUObject,0,2,0xe59
struct,15,FFilePath,/Script/CoreUObject.FilePath,CoreUObject,0,1,0xf1b
struct,16,FFloatInterval,/Script/CoreUObject.FloatInterval,CoreUObject,0,2,0xf90
struct,17,FFloatRange,/Script/CoreUObject.FloatRange,CoreUObject,0,2,0x103d
struct,18,FFloatRangeBound,/Script/CoreUObject.FloatRangeBound,CoreUObject,0,2,0x1112
struct,19,FFrameNumber,/Script/CoreUObject.FrameNumber,CoreUObject,0,1,0x11d2
struct,20,FFrameNumberRange,/Script/CoreUObject.FrameNumberRange,CoreUObject,0,2,0x1243
struct,21,FFrameNumberRangeBound,/Script/CoreUObject.FrameNumberRangeBound,CoreUObject,0,2,0x1330
struct,22,FFrameRate,/Script/CoreUObject.FrameRate,CoreUObject,0,2,0x1401
struct,23,FFrameTime,/Script/CoreUObject.FrameTime,CoreUObject,0,2,0x14ba
struct,24,FInputDeviceId,/Script/CoreUObject.InputDeviceId,CoreUObject,0,0,0x157e
struct,25,FInt32Interval,/Script/CoreUObject.Int32Interval,CoreUObject,0,2,0x15bb
struct,26,FInt32Point,/Script/CoreUObject.Int32Point,CoreUObject,0,2,0x1660
struct,27,FInt32Range,/Script/CoreUObject.Int32Range,CoreUObject,0,2,0x16f7
struct,28,FInt32RangeBound,/Script/CoreUObject.Int32RangeBound,CoreUObject,0,2,0x17cc
struct,29,FInt32Vector,/Script/CoreUObject.Int32Vector,CoreUObject,0,3,0x1888
struct,30,FInt32Vector2,/Script/CoreUObject.Int32Vector2,CoreUObject,0,2,0x1951
struct,31,FInt32Vector4,/Script/CoreUObject.Int32Vector4,CoreUObject,0,4,0x19ec
struct,32,FInt64Point,/Script/CoreUObject.Int64Point,CoreUObject,0,2,0x1ae7
struct,33,FInt64Vector,/Script/CoreUObject.Int64Vector,CoreUObject,0,3,0x1b82
struct,34,FInt64Vector2,/Script/CoreUObject.Int64Vector2,CoreUObject,0,2,0x1c51
struct,35,FInt64Vector4,/Script/CoreUObject.Int64Vector4,CoreUObject,0,4,0x1cf0
struct,36,FInterpCurveFloat,/Script/CoreUObject.InterpCurveFloat,CoreUObject,0,3,0x1df3
struct,37,FInterpCurvePointFloat,/Script/CoreUObject.InterpCurvePointFloat,CoreUObject,0,5,0x1f18
struct,38,FInterpCurveLinearColor,/Script/CoreUObject.InterpCurveLinearColor,CoreUObject,0,3,0x20c4
struct,39,FInterpCurvePointLinearColor,/Script/CoreUObject.InterpCurvePointLinearColor,CoreUObject,0,5,0x21fb
struct,40,FInterpCurvePointQuat,/Script/CoreUObject.InterpCurvePointQuat,CoreUObject,0,5,0x23c2
struct,41,FInterpCurvePointTwoVectors,/Script/CoreUObject.InterpCurvePointTwoVectors,CoreUObject,0,5,0x2566
struct,42,FTwoVectors,/Script/CoreUObject.TwoVectors,CoreUObject,0,2,0x2728
struct,43,FInterpCurvePointVector,/Script/CoreUObject.InterpCurvePointVector,CoreUObject,0,5,0x27cb
struct,44,FInterpCurvePointVector2D,/Script/CoreUObject.InterpCurvePointVector2D,CoreUObject,0,5,0x2979
struct,45,FInterpCurveQuat,/Script/CoreUObject.InterpCurveQuat,CoreUObject,0,3,0x2b31
struct,46,FInterpCurveTwoVectors,/Script/CoreUObject.InterpCurveTwoVectors,CoreUObject,0,3,0x2c53
struct,47,FInterpCurveVector,/Script/CoreUObject.InterpCurveVector,CoreUObject,0,3,0x2d87
struct,48,FInterpCurveVector2D,/Script/CoreUObject.InterpCurveVector2D,CoreUObject,0,3,0x2eaf
struct,49,FIntPoint,/Script/CoreUObject.IntPoint,CoreUObject,0,2,0x2fdd
struct,50,FMatrix,/Script/CoreUObject.Matrix,CoreUObject,0,4,0x3070
struct,51,FPlane,/Script/CoreUObject.Plane,CoreUObject,0,4,0x3193
struct,52,FMatrix44d,/Script/CoreUObject.Matrix44d,CoreUObject,0,4,0x3290
struct,53,FPlane4d,/Script/CoreUObject.Plane4d,CoreUObject,0,4,0x33c1
struct,54,FMatrix44f,/Script/CoreUObject.Matrix44f,CoreUObject,0,4,0x34c2
struct,55,FPlane4f,/Script/CoreUObject.Plane4f,CoreUObject,0,4,0x35f3
struct,56,FOrientedBox,/Script/CoreUObject.OrientedBox,CoreUObject,0,7,0x36f4
struct,57,FPackedNormal,/Script/CoreUObject.PackedNormal,CoreUObject,0,4,0x38df
struct,58,FPackedRGB10A2N,/Script/CoreUObject.PackedRGB10A2N,CoreUObject,0,1,0x39e2
struct,59,FPackedRGBA16N,/Script/CoreUObject.PackedRGBA16N,CoreUObject,0,2,0x3a5b
struct,60,FPlatformInputDeviceState,/Script/CoreUObject.PlatformInputDeviceState,CoreUObject,0,2,0x3afc
struct,61,FPlatformUserId,/Script/CoreUObject.PlatformUserId,CoreUObject,0,0,0x3c11
struct,62,FPolyglotTextData,/Script/CoreUObject.PolyglotTextData,CoreUObject,0,7,0x3c50
struct,63,FPrimaryAssetId,/Script/CoreUObject.PrimaryAssetId,CoreUObject,0,2,0x3eaa
struct,64,FPrimaryAssetType,/Script/CoreUObject.PrimaryAssetType,CoreUObject,0,1,0x3f95
struct,65,FQualifiedFrameTime,/Script/CoreUObject.QualifiedFrameTime,CoreUObject,0,2,0x4017
struct,66,FQuat4d,/Script/CoreUObject.Quat4d,CoreUObject,0,4,0x40d8
struct,67,FRay,/Script/CoreUObject.Ray,CoreUObject,0,2,0x41d7
struct,68,FRay3d,/Script/CoreUObject.Ray3d,CoreUObject,0,2,0x4282
struct,69,FRay3f,/Script/CoreUObject.Ray3f,CoreUObject,0,2,0x4335
struct,70,FRotator3d,/Script/CoreUObject.Rotator3d,CoreUObject,0,3,0x43e8
struct,71,FSoftClassPath,/Script/CoreUObject.SoftClassPath,CoreUObject,0,0,0x44cb
struct,72,FSphere3d,/Script/CoreUObject.Sphere3d,CoreUObject,0,2,0x4508
struct,73,FTemplateString,/Script/CoreUObject.TemplateString,CoreUObject,0,1,0x45af
struct,74,FTimecode,/Script/CoreUObject.Timecode,CoreUObject,0,5,0x4630
struct,75,FTimespan,/Script/CoreUObject.Timespan,CoreUObject,0,0,0x479c
struct,76,FTransform3d,/Script/CoreUObject.Transform3d,CoreUObject,0,3,0x47cf
struct,77,FUint32Point,/Script/CoreUObject.Uint32Point,CoreUObject,0,2,0x48d6
struct,78,FUint32Vector,/Script/CoreUObject.Uint32Vector,CoreUObject,0,3,0x496f
struct,79,FUint32Vector2,/Script/CoreUObject.Uint32Vector2,CoreUObject,0,2,0x4a3d
struct,80,FUint32Vector4,/Script/CoreUObject.Uint32Vector4,CoreUObject,0,4,0x4adc
struct,81,FUint64Point,/Script/CoreUObject.Uint64Point,CoreUObject,0,2,0x4bdd
struct,82,FUint64Vector,/Script/CoreUObject.Uint64Vector,CoreUObject,0,3,0x4c7a
struct,83,FUint64Vector2,/Script/CoreUObject.Uint64Vector2,CoreUObject,0,2,0x4d4e
struct,84,FUint64Vector4,/Script/CoreUObject.Uint64Vector4,CoreUObject,0,4,0x4df1
struct,85,FUintPoint,/Script/CoreUObject.UintPoint,CoreUObject,0,2,0x4efa
struct,86,FUintVector,/Script/CoreUObject.UintVector,CoreUObject,0,3,0x4f8f
struct,87,FUintVector2,/Script/CoreUObject.UintVector2,CoreUObject,0,2,0x5059
struct,88,FUintVector4,/Script/CoreUObject.UintVector4,CoreUObject,0,4,0x50f4
struct,89,FVector4d,/Script/CoreUObject.Vector4d,CoreUObject,0,4,0x51f1
struct,90,FFloatRK4SpringInterpolator,/Script/Engine.FloatRK4SpringInterpolator,Engine,0,2,0x52f4
struct,91,FFormatArgumentData,/Script/Engine.FormatArgumentData,Engine,0,7,0x53e8
struct,92,FVectorRK4SpringInterpolator,/Script/Engine.VectorRK4SpringInterpolator,Engine,0,2,0x5678
struct,93,FAnimDataModelNotifPayload,/Script/Engine.AnimDataModelNotifPayload,Engine,0,0,0x576e
struct,94,FChaosBreakEvent,/Script/Engine.ChaosBreakEvent,Engine,0,8,0x57be
struct,95,FCollisionChaosEvent,/Script/Engine.CollisionChaosEvent,Engine,0,6,0x5a29
struct,96,FCollisionChaosEventBodyInfo,/Script/Engine.CollisionChaosEventBodyInfo,Engine,0,8,0x5c37
struct,97,FChaosCrumblingEvent,/Script/Engine.ChaosCrumblingEvent,Engine,0,8,0x5ee9
struct,98,FHitResult,/Script/Engine.HitResult,Engine,0,0,0x617a
struct,99,FActorInstanceHandle,/Script/Engine.ActorInstanceHandle,Engine,0,0,0x61aa
struct,100,FVector_NetQuantize,/Script/Engine.Vector_NetQuantize,Engine,0,3,0x61ee
struct,101,FVector_NetQuantizeNormal,/Script/Engine.Vector_NetQuantizeNormal,Engine,0,3,0x62cc
struct,102,FKey,/Script/InputCore.Key,InputCore,0,1,0x63b6
struct,103,FSubtitleCue,/Script/Engine.SubtitleCue,Engine,0,2,0x6422
struct,104,FChaosRemovalEvent,/Script/Engine.ChaosRemovalEvent,Engine,0,3,0x64c8
struct,105,FTickFunction,/Script/Engine.TickFunction,Engine,0,6,0x65e6
struct,106,FActorComponentTickFunction,/Script/Engine.ActorComponentTickFunction,Engine,0,6,0x67be
struct,107,FInterpControlPoint,/Script/Engine.InterpControlPoint,Engine,0,2,0x69b2
