offset_hex,offset_dec,len_field,nul_form,rec_bytes,section,module,ptr_key,class,text
0x000018,24,20,A,24,A_modules,Airship/LokiAirship.as,,dotted_name,Airship.LokiAirship
0x000030,48,19,B,24,A_modules,Airship/LokiAirship.as,,dotted_name,Airship.LokiAirship
0x00004c,76,15,B,20,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship_AS
0x0000fc,252,11,B,16,A_modules,Airship/LokiAirship.as,,identifier,StaticClass
0x00010c,268,15,B,20,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship_AS
0x0001c4,452,5,B,10,A_modules,Airship/LokiAirship.as,,identifier,Spawn
0x0001ce,462,15,B,20,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship_AS
0x0002c2,706,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Location
0x0002cf,719,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Rotation
0x0002dc,732,4,B,9,A_modules,Airship/LokiAirship.as,,identifier,Name
0x0002e5,741,14,B,19,A_modules,Airship/LokiAirship.as,,identifier,bDeferredSpawn
0x0002f8,760,5,B,10,A_modules,Airship/LokiAirship.as,,identifier,Level
0x00031e,798,21,B,26,A_modules,Airship/LokiAirship.as,,default_arg_expr,FVector :: ZeroVector
0x000338,824,23,B,28,A_modules,Airship/LokiAirship.as,,default_arg_expr,FRotator :: ZeroRotator
0x000354,852,9,B,14,A_modules,Airship/LokiAirship.as,,default_arg_expr,NAME_None
0x000362,866,5,B,10,A_modules,Airship/LokiAirship.as,,default_arg_expr,false
0x00036c,876,7,B,12,A_modules,Airship/LokiAirship.as,,default_arg_expr,nullptr
0x000408,1032,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x000498,1176,15,B,20,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship_AS
0x0004b8,1208,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,BoostTag
0x0004f9,1273,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x00050a,1290,7,B,12,A_modules,Airship/LokiAirship.as,,identifier,Airship
0x000556,1366,22,B,27,A_modules,Airship/LokiAirship.as,,identifier,GenericCollisionEffect
0x0005a5,1445,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0005b6,1462,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000613,1555,23,B,28,A_modules,Airship/LokiAirship.as,,identifier,MaxHeadOnCollisionAngle
0x000663,1635,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000674,1652,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x0006d1,1745,25,B,30,A_modules,Airship/LokiAirship.as,,identifier,MinGenericCollisionDamage
0x000723,1827,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
