ptr,name,defined_at_hex,section
0x26e5ce1ca00,ULevel,0x0cb2ef,B_symbols
0x26e5ce30100,UDecalComponent,0x0ccbf6,B_symbols
0x26e5ce30700,UCharacterMovementComponent,0x0cc117,B_symbols
0x26e5ce30d00,UMovableBaseComponent,0x0c889b,B_symbols
0x26e5ce31000,UCapsuleComponent,0x0c8977,B_symbols
0x26e5ce31600,UBoxComponent,0x0cc02f,B_symbols
0x26e5ce34000,APlayerController,0x0cd39d,B_symbols
0x26e5ce37300,USplineComponent,0x0ccdd7,B_symbols
0x26e5ce38500,UProjectileMovementComponent,0x0c9c08,B_symbols
0x26e5ce3bb00,USphereComponent,0x0cdcff,B_symbols
0x26e5ce3e500,UCurveFloat,0x0ccfba,B_symbols
0x26e5ce5e500,AGameStateBase,0x0cca24,B_symbols
0x26e5ce78200,UMaterialInstanceDynamic,0x0ccc48,B_symbols
0x26e5ce90a00,APlayerState,0x0c9b24,B_symbols
0x26e5ce91000,APlayerStart,0x0cd330,B_symbols
0x26e5cea4600,UStaticMesh,0x0ccca6,B_symbols
0x26e5cf01c00,UNiagaraSystem,0x0ccf34,B_symbols
0x26e5cf17f00,UNiagaraComponent,0x0ccf5b,B_symbols
0x26e5dc744d0,Gold,0x116760,D_constpool
0x26e5dc74560,Gold,0x116291,D_constpool
0x26e5dc74570,Gold,0x1162ae,D_constpool
0x26e5dc745e0,Gold,0x1167de,D_constpool
0x26e5ec0be00,UAkAudioEvent,0x0c85f5,B_symbols
0x26e5ec0d000,UAkSwitchValue,0x0ccd80,B_symbols
0x26e5f918500,UAbilitySystemComponent,0x0cb30e,B_symbols
0x26e5f933d00,UGameplayEffect,0x0c5e48,B_symbols
0x26e5f934300,UGameplayAbility,0x0cdbed,B_symbols
0x26e5f950100,UMapIconComponent,0x0cc92e,B_symbols
0x26e5f968800,UGameEventRouterComponent,0x0c60e2,B_symbols
0x26e5f96ee00,UCommonActivatableWidget,0x0cb1fc,B_symbols
0x26e5f9ad600,UArmoryManager,0x0cb5ef,B_symbols
0x26e5f9bd600,ULokiAbilitySystemComponent,0x0c5bfa,B_symbols
0x26e5f9d2200,ULokiAssetManager,0x0cba9d,B_symbols
0x26e5f9d2500,ULoadAssetHandle,0x0cb790,B_symbols
0x26e5f9d5200,ALokiAirship,0x0c5b51,B_symbols
0x26e5f9d5500,ULokiAimingVisComponent,0x0c89c4,B_symbols
0x26e5f9d8200,ALokiGameMode,0x0c94ba,B_symbols
0x26e5f9d8e00,ALokiBaseItem,0x0c5f5c,B_symbols
0x26e5f9de200,ALokiHeightMap,0x0ccce7,B_symbols
0x26e5f9dfa00,ULokiBotSpawnerComponent,0x0c9413,B_symbols
0x26e5f9e0100,ULokiDisplayableAbility,0x0cce54,B_symbols
0x26e5f9e2e00,ULokiCharacterSpringArmComponent,0x0c9c6c,B_symbols
0x26e5f9e3a00,ULokiCharacterMovementComponent,0x0c5cbd,B_symbols
0x26e5f9e5e00,ALokiCharacter,0x0c5d53,B_symbols
0x26e5f9e7900,ULokiDataAsset_Base,0x0cbac7,B_symbols
0x26e5f9ecd00,ULokiDataAsset_Power,0x0c625f,B_symbols
0x26e5f9efa00,ULokiDataAsset_Equipment,0x0c628c,B_symbols
0x26e5f9f1c00,ALokiDropPodBase,0x0c9ac5,B_symbols
0x26e5f9f1f00,ALokiDropPlane,0x0cd8bf,B_symbols
0x26e5f9f2b00,ALokiDropInGameMode,0x0cd45d,B_symbols
0x26e5f9f4300,ALokiDestructible,0x0cb434,B_symbols
0x26e5f9f5b00,ALokiDayNightController,0x0cd26d,B_symbols
0x26e5f9fa600,ALokiGameAugment,0x0cd619,B_symbols
0x26e5f9fa900,ULokiFuzzyPlayerLocationComponent,0x0cad9f,B_symbols
0x26e5f9fc700,ALokiGameState,0x0c8039,B_symbols
0x26e5f9fcd00,ULokiGameplayUsableSpell,0x0ca2da,B_symbols
0x26e5fa11f00,ULokiHeroUsableComponent,0x0ca241,B_symbols
0x26e5fa12500,ALokiHeroHeightIndicator,0x0c89f4,B_symbols
0x26e5fa12800,ULokiHeroGroundIndicatorBase,0x0c8466,B_symbols
0x26e5fa13700,ALokiHeroCharacter,0x0c6be3,B_symbols
0x26e5fa13d00,ULokiHeroAsset,0x0c9361,B_symbols
0x26e5fa15800,ALokiGemBase,0x0cdcda,B_symbols
0x26e5fa15e00,ULokiGameUserSettings,0x0cdf99,B_symbols
0x26e5fa17600,ALokiLoadout,0x0cdd57,B_symbols
0x26e5fa17900,ULivingStateMachine,0x0ce045,B_symbols
0x26e5fa1a300,ULokiInventoryComponentComboItems,0x0cb906,B_symbols
0x26e5fa1a900,ULokiInventoryComponentBase,0x0cb940,B_symbols
0x26e5fa1e200,"""",0x06c63d,A_modules
0x26e5fa1f700,ULokiLootTableFull,0x0c7ac0,B_symbols
0x26e5fa1fd00,ULokiLootTable,0x0c6475,B_symbols
0x26e5fa32e00,',0x0127bb,A_modules
0x26e5fa33100,ALokiMinionCharacter,0x0c64e4,B_symbols
0x26e5fa36a00,ALokiPlayerController,0x0c6231,B_symbols
0x26e5fa36d00,ALokiPlayerCheats,0x0ca8ed,B_symbols
0x26e5fa39100,$,0x0c4b52,A_modules
0x26e5fa39a00,ULokiOffscreenIndicatorWidget,0x0cb22d,B_symbols
0x26e5fa3e200,ALokiPlayerState,0x0c6870,B_symbols
0x26e5fa3e500,ALokiPlayerStart,0x0c922b,B_symbols
0x26e5fa3eb00,ULokiPlayerInteractionComponent,0x0cdc4c,B_symbols
0x26e5fa3f100,#,0x0826ae,A_modules
0x26e5fa3fa00,$,0x00e08a,A_modules
0x26e5fa40700,ULokiRideableComponent,0x0c9c3d,B_symbols
0x26e5fa43400,ULokiProjectilePathComponent,0x0ccf85,B_symbols
0x26e5fa4b800,ALokiServerAnalyticsManager,0x0cb9dd,B_symbols
