module,as_name,ue_name,kind,as_super,ue_super,code_super,decl_order,in_usmap,usmap_schema_idx,prop_name,as_type,usmap_type,uproperty,flags,rep_condition,rep_notify
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,0,True,0,BoostTag,FGameplayTag,Struct<GameplayTag>,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,1,True,1,GenericCollisionEffect,TSubclassOf<UGameplayEffect@>,ObjectProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,2,True,2,MaxHeadOnCollisionAngle,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,3,True,3,MinGenericCollisionDamage,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,4,True,4,MaxGenericCollisionDamage,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,5,True,5,MinGenericCollisionSpeed,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,6,True,6,MaxGenericCollisionSpeed,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,7,True,7,AirshipCollisionFrontMultiplier,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,8,True,8,AirshipCollisionRearMultiplier,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,9,True,9,RoadkillImpactEffect,TSubclassOf<UGameplayEffect@>,ObjectProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,10,True,10,MinRoadkillDamage,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,11,True,11,MaxRoadkillDamage,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
Airship.LokiAirship,ALokiAirship_AS,LokiAirship_AS,class,ALokiAirship,LokiAirship,/Script/Loki.LokiAirship,12,True,12,RoadkillDamageMinionCoefficient,float64,DoubleProperty,True,BlueprintReadable|BlueprintWritable|EditableOnDefaults,,False
