cls,func,flags,thunk,impl,verdict,detail,how,sig,nprop,ssz,params,isize
ALokiPlayerCheats,AddLevelingPassive,Event|Public|BlueprintCallable|BlueprintEvent,,,NO_TABLE_ENTRY,name absent from native-fn table,,(TSubclassOf<fn@0x1233dc0> PassiveEffect)  ->  void,1,8,0x09c07f90,0
ALokiPlayerCheats,AdminOnly,Final|Native|Public|HasOutParms|BlueprintCallable,0x5421a70,0x1f67df0,TRIVIAL,"2 ins, 4 B, sweep-to-ret (NO .pdata entry) :: mov byte ptr [rdx], 1; ret   [ICF mult=2]",direct &ALokiPlayerCheats::AdminOnly,(out fn@0x528da30 OutputExecs)  ->  void,2,1,0x09c07fd0,4
ALokiPlayerCheats,AreHotkeyCheatsEnabled,Final|Native|Public|BlueprintCallable|BlueprintPure|Const,0x52fd980,0xf7eb60,FALSE_STUB,"xor al,al; ret -- always false  [ICF mult=75]",direct &ALokiPlayerCheats::AreHotkeyCheatsEnabled,()  ->  bool,1,1,0x09c08010,3
ALokiPlayerCheats,CheatAddMissionProgress,Final|Exec|Native|Public|BlueprintCallable,0x5421d60,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatAddMissionProgress,"(FString MissionId, FString ObjectiveName, float Progress)  ->  void",3,40,0x09c08050,3
ALokiPlayerCheats,CheatAutoStrafe,Final|Exec|Native|Public|BlueprintCallable,0x5421ea0,0x55cf430,REAL,"47 ins, 4 calls, 181 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::CheatAutoStrafe,"(double Period, double Speed)  ->  void",2,16,0x09c08090,181
ALokiPlayerCheats,CheatAutoStrafeToggleDirection,Final|Exec|Native|Public|BlueprintCallable,0x5421f80,0x55cf4f0,TRIVIAL,"4 ins, 17 B, sweep-to-ret (NO .pdata entry) :: cmp byte ptr [rcx + 0x3b0], 0; sete al; mov byte ptr [rcx + 0x3b0], al; ret   [ICF mult=1]",direct &ALokiPlayerCheats::CheatAutoStrafeToggleDirection,()  ->  void,0,0,0x09c080d0,17
ALokiPlayerCheats,CheatChangeHero,Final|Exec|Native|Public,0x534be80,0x1384d50,TRIVIAL,"4 ins, 13 B, sweep-to-ret (NO .pdata entry) :: mov rcx, qword ptr [rdx]; test rcx, rcx; jne 0xff9310; ret   [ICF mult=6]",direct &ALokiPlayerCheats::CheatChangeHero,(FString HeroName)  ->  void,1,16,0x09c08110,13
ALokiPlayerCheats,CheatGetAllClientActorsByClassName,Final|Exec|Native|Public,0x5421fa0,0xf7eb50,ZERO_STUB,"xor eax,eax; ret -- 0 / nullptr  [ICF mult=41]",direct &ALokiPlayerCheats::CheatGetAllClientActorsByClassName,(FString ClassName)  ->  int32,2,24,0x09c08150,3
ALokiPlayerCheats,CheatMeasureCursor,Final|Exec|Native|Public,0x5422050,0x55cb1d0,REAL,"4 ins, 1 calls, 14 B, pdata  [ICF mult=6]",direct &ALokiPlayerCheats::CheatMeasureCursor,()  ->  void,0,0,0x09c08190,14
ALokiPlayerCheats,CheatMuteAudio,Final|Exec|Native|Public,0x5422070,0x55cf5a0,REAL,"24 ins, 3 calls, 79 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::CheatMuteAudio,(int32 Mute)  ->  void,1,4,0x09c081d0,79
ALokiPlayerCheats,CheatNoCooldowns,Final|Exec|Native|Public,0x5422100,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatNoCooldowns,(double Enabled)  ->  void,1,8,0x09c08210,3
ALokiPlayerCheats,CheatSetEmote,Final|Exec|Native|Public,0x5422180,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatSetEmote,"(byte EmoteIndex, FName EmoteName)  ->  void",2,12,0x09c08250,3
ALokiPlayerCheats,CheatSetRankedPoints,Final|Exec|Native|Public|BlueprintCallable,0x52fd8f0,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatSetRankedPoints,(int32 Amount)  ->  void,1,4,0x09c08290,3
ALokiPlayerCheats,CheatSetTeamEliminated,Final|BlueprintAuthorityOnly|Native|Public|BlueprintCallable,0x5422250,0x55cf760,REAL,"41 ins, 4 calls, 122 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::CheatSetTeamEliminated,"(const UExpandableArea* WorldContextObject, int32 TeamIndex, bool bEliminated)  ->  void",3,16,0x09c082d0,122
ALokiPlayerCheats,CheatSetXP,Final|Exec|Native|Public|BlueprintCallable,0x52fd8f0,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatSetXP,(int32 XPAmount)  ->  void,1,4,0x09c08310,3
ALokiPlayerCheats,CheatTeleportCursor,Final|Native|Public|BlueprintCallable,0x2c2ce30,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatTeleportCursor,(UDefaultLevelSequenceInstanceData* ActorToTeleport)  ->  void,1,8,0x09c08350,3
ALokiPlayerCheats,CheatTeleportLocation,Final|Exec|Native|Public|BlueprintCallable,0x5422360,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatTeleportLocation,"(double X, double Y, double Z)  ->  void",3,24,0x09c08390,3
ALokiPlayerCheats,CheatTravelToMainMenu,Final|Exec|Native|Public,0x5254180,0xf7ec20,RET_STUB,ret 0 -- empty body  [ICF mult=371],direct &ALokiPlayerCheats::CheatTravelToMainMenu,()  ->  void,0,0,0x09c083d0,3
ALokiPlayerCheats,ClientHypeUpdated,Net|NetReliable|Native|Event|Public|NetClient,0x5423220,0x541ad00,REAL,"17 ins, 2 calls, 63 B, pdata  [ICF mult=1]",direct &ALokiPlayerCheats::ClientHypeUpdated,(int32 Hype)  ->  void,1,4,0x09c08410,63
ALokiPlayerCheats,EnableForceDisplayCharacterName,Final|Exec|Native|Public,0x54245f0,0x55d3990,REAL,"7 ins, 0 calls, 25 B, sweep-to-ret (NO .pdata entry)  [ICF mult=1]",direct &ALokiPlayerCheats::EnableForceDisplayCharacterName,(double Enabled)  ->  void,1,8,0x09c08450,25
