owner,func,flags_hex,flags,params_rva,outer_rva
?0x1e30690,FieldValueChangedDynamicDelegate__DelegateSignature,0x00120000,Public|Delegate,0x099df0a0,0x01e30690
?0x2085210,OnImageWriteComplete__DelegateSignature,0x00120000,Public|Delegate,0x099ecad0,0x02085210
?0x2bbc540,InstancePointDamageSignature__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x099fb1c0,0x02bbc540
?0x2bbc540,InstanceRadialDamageSignature__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x099fb200,0x02bbc540
?0x2c80c10,OnMovieSceneSequencePlayerEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a018b0,0x02c80c10
?0x2d71fe0,OnChaosPhysicsCollision__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a03460,0x02d71fe0
?0x2d883e0,OnChaosBreakEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a05790,0x02d883e0
?0x2d883e0,OnChaosBreakingEvents__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a04ab0,0x02d883e0
?0x2d883e0,OnChaosCollisionEvents__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a04a70,0x02d883e0
?0x2d883e0,OnChaosCrumblingEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a05810,0x02d883e0
?0x2d883e0,OnChaosRemovalEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a057d0,0x02d883e0
?0x2d883e0,OnChaosRemovalEvents__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a04b30,0x02d883e0
?0x2d883e0,OnChaosTrailingEvents__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a04af0,0x02d883e0
?0x2d883e0,OnGeometryCollectionFullyDecayedEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a05850,0x02d883e0
?0x2d883e0,OnGeometryCollectionRootMovedEvent__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a05890,0x02d883e0
?0x2dd60c0,OnMontagePlayDelegate__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a0c250,0x02dd60c0
?0x3182100,OnAudioDefaultDeviceChanged__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a2dc40,0x03182100
?0x3182100,OnAudioDeviceChange__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a2dcc0,0x03182100
?0x3182100,OnAudioDeviceStateChanged__DelegateSignature,0x00130000,MulticastDelegate|Public|Delegate,0x09a2dc80,0x03182100
?0x3182100,OnAudioOutputDevicesObtained__DelegateSignature,0x00120000,Public|Delegate,0x09a2de70,0x03182100
?0x3182100,OnCompletedDeviceSwap__DelegateSignature,0x00120000,Public|Delegate,0x09a2def0,0x03182100
?0x3182100,OnMainAudioOutputDeviceObtained__DelegateSignature,0x00120000,Public|Delegate,0x09a2deb0,0x03182100
